506312801115411, BENATUX, BENATUX, NOT FOUND, 5MG+50MG+10MG PAST CT ENV AL X 12 (FRAMBOEZA), CF2
506312802111411, BENATUX, BENATUX, NOT FOUND, 5MG+50MG+10MG PAST CT ENV AL X 12 (MENTA), CF2
506301201138415, BRONCONAL, BRONCONAL, NOT FOUND, 0.4MG/ML SOL ORAL CX 01 FR 120ML, CF2
506312101131414, BRONFILIL, BRONFILIL, NOT FOUND, 25MG XAROPE PEDIATRICO 120ML + COPO MED, CF2
506312102136411, BRONFILIL, BRONFILIL, NOT FOUND, 50MG XAROPE ADULTO 120ML, CF2
506312801115411, BENATUX, BENATUX, NOT FOUND, 5MG+50MG+10MG PAST CT ENV AL X 12 (FRAMBOEZA), CF2
506312802111411, BENATUX, BENATUX, NOT FOUND, 5MG+50MG+10MG PAST CT ENV AL X 12 (MENTA), CF2
506301201138415, BRONCONAL, BRONCONAL, NOT FOUND, 0.4MG/ML SOL ORAL CX 01 FR 120ML, CF2
506312101131414, BRONFILIL, BRONFILIL, NOT FOUND, 25MG XAROPE PEDIATRICO 120ML + COPO MED, CF2
506312102136411, BRONFILIL, BRONFILIL, NOT FOUND, 50MG XAROPE ADULTO 120ML, CF2
506312801115411, BENATUX, BENATUX, NOT FOUND, 5MG+50MG+10MG PAST CT ENV AL X 12 (FRAMBOEZA), CF2
506312802111411, BENATUX, BENATUX, NOT FOUND, 5MG+50MG+10MG PAST CT ENV AL X 12 (MENTA), CF2
506301201138415, BRONCONAL, BRONCONAL, NOT FOUND, 0.4MG/ML SOL ORAL CX 01 FR 120ML, CF2
506312101131414, BRONFILIL, BRONFILIL, NOT FOUND, 25MG XAROPE PEDIATRICO 120ML + COPO MED, CF2
506312102136411, BRONFILIL, BRONFILIL, NOT FOUND, 50MG XAROPE ADULTO 120ML, CF2
506312801115411, BENATUX, BENATUX, NOT FOUND, 5MG+50MG+10MG PAST CT ENV AL X 12 (FRAMBOEZA), CF2
506312802111411, BENATUX, BENATUX, NOT FOUND, 5MG+50MG+10MG PAST CT ENV AL X 12 (MENTA), CF2
506301201138415, BRONCONAL, BRONCONAL, NOT FOUND, 0.4MG/ML SOL ORAL CX 01 FR 120ML, CF2
506312101131414, BRONFILIL, BRONFILIL, NOT FOUND, 25MG XAROPE PEDIATRICO 120ML + COPO MED, CF2
506312102136411, BRONFILIL, BRONFILIL, NOT FOUND, 50MG XAROPE ADULTO 120ML, CF2
506312801115411, BENATUX, BENATUX, NOT FOUND, 5MG+50MG+10MG PAST CT ENV AL X 12 (FRAMBOEZA), CF2
506312802111411, BENATUX, BENATUX, NOT FOUND, 5MG+50MG+10MG PAST CT ENV AL X 12 (MENTA), CF2
