506409701166118, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.00 MG/G + 10.00 MG/G POM DERM CT BG AL X 20G, CM5
506406401110414, VERMOPLEX, VERMOPLEX, NOT FOUND, 100 MG COM CT BL X 6, CM5
506406402133418, VERMOPLEX, VERMOPLEX, NOT FOUND, 20MG/ML SUSP CT FR X 30 ML, CM5
506406501115418, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 2, CM5
506406502111416, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 4, CM5
506409701166118, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.00 MG/G + 10.00 MG/G POM DERM CT BG AL X 20G, CM5
506406401110414, VERMOPLEX, VERMOPLEX, NOT FOUND, 100 MG COM CT BL X 6, CM5
506406402133418, VERMOPLEX, VERMOPLEX, NOT FOUND, 20MG/ML SUSP CT FR X 30 ML, CM5
506406501115418, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 2, CM5
506406502111416, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 4, CM5
506409701166118, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.00 MG/G + 10.00 MG/G POM DERM CT BG AL X 20G, CM5
506406401110414, VERMOPLEX, VERMOPLEX, NOT FOUND, 100 MG COM CT BL X 6, CM5
506406402133418, VERMOPLEX, VERMOPLEX, NOT FOUND, 20MG/ML SUSP CT FR X 30 ML, CM5
506406501115418, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 2, CM5
506406502111416, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 4, CM5
506409701166118, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.00 MG/G + 10.00 MG/G POM DERM CT BG AL X 20G, CM5
506406401110414, VERMOPLEX, VERMOPLEX, NOT FOUND, 100 MG COM CT BL X 6, CM5
506406402133418, VERMOPLEX, VERMOPLEX, NOT FOUND, 20MG/ML SUSP CT FR X 30 ML, CM5
506406501115418, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 2, CM5
506406502111416, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 4, CM5
506409701166118, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.00 MG/G + 10.00 MG/G POM DERM CT BG AL X 20G, CM5
506406401110414, VERMOPLEX, VERMOPLEX, NOT FOUND, 100 MG COM CT BL X 6, CM5
506406402133418, VERMOPLEX, VERMOPLEX, NOT FOUND, 20MG/ML SUSP CT FR X 30 ML, CM5
506406501115418, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 2, CM5
506406502111416, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 4, CM5
506409701166118, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.00 MG/G + 10.00 MG/G POM DERM CT BG AL X 20G, CM5
506406401110414, VERMOPLEX, VERMOPLEX, NOT FOUND, 100 MG COM CT BL X 6, CM5
506406402133418, VERMOPLEX, VERMOPLEX, NOT FOUND, 20MG/ML SUSP CT FR X 30 ML, CM5
506406501115418, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 2, CM5
506406502111416, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 4, CM5
506409701166118, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.00 MG/G + 10.00 MG/G POM DERM CT BG AL X 20G, CM5
506406401110414, VERMOPLEX, VERMOPLEX, NOT FOUND, 100 MG COM CT BL X 6, CM5
506406402133418, VERMOPLEX, VERMOPLEX, NOT FOUND, 20MG/ML SUSP CT FR X 30 ML, CM5
506406501115418, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 2, CM5
506406502111416, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 4, CM5
506409701166118, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.00 MG/G + 10.00 MG/G POM DERM CT BG AL X 20G, CM5
506406401110414, VERMOPLEX, VERMOPLEX, NOT FOUND, 100 MG COM CT BL X 6, CM5
506406402133418, VERMOPLEX, VERMOPLEX, NOT FOUND, 20MG/ML SUSP CT FR X 30 ML, CM5
506406501115418, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 2, CM5
506406502111416, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 4, CM5
506409701166118, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.00 MG/G + 10.00 MG/G POM DERM CT BG AL X 20G, CM5
506406401110414, VERMOPLEX, VERMOPLEX, NOT FOUND, 100 MG COM CT BL X 6, CM5
506406402133418, VERMOPLEX, VERMOPLEX, NOT FOUND, 20MG/ML SUSP CT FR X 30 ML, CM5
506406501115418, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 2, CM5
506406502111416, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 4, CM5
506409701166118, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.00 MG/G + 10.00 MG/G POM DERM CT BG AL X 20G, CM5
506406501115418, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 2, CM5
506406502111416, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 4, CM5
506409701166118, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.00 MG/G + 10.00 MG/G POM DERM CT BG AL X 20G, CM5
506406501115418, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 2, CM5
506406502111416, VIGAMED, VIGAMED, NOT FOUND, 40 MG COM CT BL PLAS INC X 4, CM5
