506715010055303, KETAMIN, KETAMIN, NOT FOUND, 50 MG/ML SOL INJ CX 25 FA VD TRANS X 10 ML (EMB HOSP), CT6
506715010055803, KETAMIN, KETAMIN, NOT FOUND, 50 MG/ML SOL INJ CX 36 AMP VD TRANS X 2 ML (EMB HOSP), CT6
506707701156417, KETAMIN, KETAMIN, NOT FOUND, 50 MG/ML SOL INJ CX 5 FA VD INC X 10 ML (REST. HOSP.), CT6
506707702152415, KETAMIN, KETAMIN, NOT FOUND, 50 MG/ML SOL INJ CX 25 AMP VD INC X 2 ML, CT6
506707805164416, KOLLAGENASE, KOLLAGENASE, NOT FOUND, 0.6 U POM DERM CX 10 BG AL X 30 G, CT6
506712100049303, KOLLAGENASE, KOLLAGENASE, NOT FOUND, 0.6 U POM DERM CT BG AL X 50G + ESP PLAS, CT6
506707802165411, KOLLAGENASE COM CLORANFENICOL, KOLLAGENASE CLORANFENICOL, NOT FOUND,  0.6 U/G + 0.01 G/G POM DERM CT BG AL X 15 G + ESPATULA PLAS, CT6
506707801169413, KOLLAGENASE COM CLORANFENICOL, KOLLAGENASE CLORANFENICOL, NOT FOUND, 0.6 U/G + 0.01 G/G POM DERM CX C/ 10 BG AL X 30 G, CT6
506707803161411, KOLLAGENASE COM CLORANFENICOL, KOLLAGENASE CLORANFENICOL, NOT FOUND, 0.6 U/G + 0.01 G/G POM DERM CT BG AL X 30 G, CT6
506707806160414, KOLLAGENASE, KOLLAGENASE, NOT FOUND, 0.6 U/G POM DERM CT BG AL BG X 30 G, CT6
506707804168418, KOLLAGENASE COM CLORANFENICOL, KOLLAGENASE CLORANFENICOL, NOT FOUND,   0.6 U/G + 0.01 G/G POM DERM CT BG AL X 50 G + ESPATULA PLAS, CT6
506707602158411, KAVIT, KAVIT, NOT FOUND, 10 MG/ML SOL INJ CX 50 AMP VD AMB X 0.2 ML (EMB HOSP), CT6
506707601151413, KAVIT, KAVIT, NOT FOUND, 10 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), CT6
