507742001112410; HEMOSEV; HEMOSEV; NOT FOUND; 800 MG COM REV CT FR PLAS OPC X 180; EMS
531623002118410; HERPSTAL; HERPSTAL; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 10; EMS
531623001111412; HERPSTAL; HERPSTAL; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 42; EMS
531622701136411; HIDROALERG; HIDROALERG; NOT FOUND; 2 MG/ ML SOL OR CT FR PLAS OPC X 120 ML + CP MED; EMS
507739401164116; HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G +0.1 MG/G  CREM DERM CT BG AL X 15 G ; EMS
507739402160114; HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G; EMS
531613070069606; HIDROQUINONA + TRETINOINA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 15 G; EMS
531613070069506; HIDROQUINONA + TRETINOINA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G ; EMS
531612001131116; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; EMS
507731801139113; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; EMS
507746601114115; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 1.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
507746602110113; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 3.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
507746603117111; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 4.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
507746604113111; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 6.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
541812060000206; HEMITARTARATO DE ZOLPIDEM (PORT. 344/98 - LISTA B1); HEMITARTARATO ZOLPIDEM PORT 344 98 LISTA B1; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 10; EMS
541812060000306; HEMITARTARATO DE ZOLPIDEM (PORT. 344/98 - LISTA B1); HEMITARTARATO ZOLPIDEM PORT 344 98 LISTA B1; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 20; EMS
507734601114111; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS LEIT X 30; EMS
507734602110111; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS LEIT X 20; EMS
531617601161114; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 30 G ; EMS
507734701161111; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 30 G ; EMS
531617602176115; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML ; EMS
507734702174111; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML  ; EMS
531613080069806; HIDROQUINONA; HIDROQUINONA; HIDROQUINONA; 40 MG/G CREM CT BG AL X 30G; EMS
507742301167113; HIDROQUINONA; HIDROQUINONA; HIDROQUINONA; 40 MG/G CREM CT BG AL X 30G; EMS
507742401161419; HIDROPEEK; HIDROPEEK; NOT FOUND; 40 MG/G CREM CT BG AL X 30 G; EMS
541813120006604; HIDROPEEK; HIDROPEEK; NOT FOUND; 40 MG/G GEL CT BG AL X 30 G; EMS
507743701134415; HIXILERG; HIXILERG; NOT FOUND; 2 MG/ ML SOL OR CT FR PLAS AMB X 120 ML + COP; EMS
507715501134114; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CT FR PLAS OPC X 240 ML; EMS
531624301151418; HEMOBLOCK; HEMOBLOCK; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; EMS
