508008501154113, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008502150111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 500 MG PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008501154113, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008502150111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 500 MG PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008501154113, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008502150111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 500 MG PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008501154113, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008502150111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 500 MG PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008501154113, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008502150111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 500 MG PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008501154113, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008502150111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 500 MG PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008501154113, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008502150111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 500 MG PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008501154113, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008502150111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 500 MG PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008501154113, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508008502150111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 500 MG PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508000803151111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 0.5 G PO P/ SOL INJ CT 10 FA VD INC + 10 DIL AMP PLAS X 3 ML  , EUF
508000804158111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO P/ SOL INJ CT 10 FA VD INC + 10 DIL AMP PLAS X 3 ML , EUF
508008501154113, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508000805154118, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 2 G PO PREP EXT INJ CT 10 FA VD INC, EUF
508008502150111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 500 MG PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508000803151111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 0.5 G PO P/ SOL INJ CT 10 FA VD INC + 10 DIL AMP PLAS X 3 ML  , EUF
508000804158111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO P/ SOL INJ CT 10 FA VD INC + 10 DIL AMP PLAS X 3 ML , EUF
508008501154113, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 1 G PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
508000805154118, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 2 G PO PREP EXT INJ CT 10 FA VD INC, EUF
508008502150111, IFOSFAMIDA, IFOSFAMIDA, IFOSFAMIDA, 500 MG PO PREP EXTEMP INJ CT 10 FA VD INC, EUF
