509001401111313; DEQUADIN; DEQUADIN; NOT FOUND; 0.25 MG + 5 MG PAST CT 2 STR AL X 10 (SABOR LARANJA); FQM
509001402116319; DEQUADIN; DEQUADIN; NOT FOUND; 0.25 MG + 5 MG PAST CT 2 STR AL X 10 (SABOR LIMAO); FQM
509001403112317; DEQUADIN; DEQUADIN; NOT FOUND; 0.25 MG + 5 MG PAST CT 2 STR AL X 10 (SABOR MENTA); FQM
509001601119415; DOLAMIN; DOLAMIN; NOT FOUND; 125 MG COM REV CT BL AL PLAS INC X 16; FQM
509001602158414; DOLAMIN; DOLAMIN; NOT FOUND; 50 MG/ML SOL INJ CX 6 AMP VD AMB X 4 ML; FQM
509014090012703; DOLAMIN FLEX; DOLAMIN FLEX; NOT FOUND; 125 MG + 5.0 MG COM REV CT BL AL PLAS INC X 12; FQM
509004501115315; DOLAMIN FLEX; DOLAMIN FLEX; NOT FOUND; 125 MG + 5.0 MG COM REV CT BL AL PLAS INC X 15; FQM
509001502110411; DIMEFOR; DIMEFOR; NOT FOUND; 500 MG COM REV CT FR PLAS INC X 30; FQM
509001501114411; DIMEFOR; DIMEFOR; NOT FOUND; 850 MG COM CT FR PLAS OPC INC X 30; FQM
509001301115317; DARAPRIM; DARAPRIM; NOT FOUND; 25 MG COM CT FR VD INC X 100; FQM
509013120012403; DARAPRIM; DARAPRIM; NOT FOUND; 25 MG COM CT BL  AL PVC X 30; FQM
