526114090094403; DROXY; DROXY; NOT FOUND; 25 MG COM CT FR PLAS OPC X 30; GM2
526112110087504; DEEPLIN; DEEPLIN; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30 ; GM2
526121201118113; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 30 MG COM CT BL AL PLAS LEIT X 10 ; GM2
526121202114111; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 6 MG COM CT BL AL PLAS LEIT X 20; GM2
526132102132113; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD; GM2
526132103139111; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; GM2
526132101111112; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 10; GM2
526112040083506; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 30; GM2
526118701164114; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G POM DERM CT BG AL X 30 G ; GM2
526118702160112; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G CREM CT BG AL X 30 G; GM2
526129401167415; DERMATOL; DERMATOL; NOT FOUND; 0.5 MG/G CREM CT BG AL X 30G; GM2
526129402163413; DERMATOL; DERMATOL; NOT FOUND; 0.5MG/G POM CT BG AL X 30G; GM2
526118703167110; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G LOC CREM CT FR PLAS OPC X 60 G ; GM2
526129403178414; DERMATOL; DERMATOL; NOT FOUND; 1.0MG/G LOC CAP CT FR PLAS OPC GOT X 30G; GM2
526118704163119; DESONIDA; DESONIDA; DESONIDA; 1 MG/G LOC CAPIL CT FR PLAS OPC GOT X 30 G; GM2
526116104134111; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED; GM2
526116103111118; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.5 MG COM CT BL AL PLAS OPC X 20; GM2
526116101119111; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.75 MG COM CT BL AL PLAS OPC X 20; GM2
526116102115111; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4 MG COM CT BL AL PLAS OPC X 10; GM2
526103601118414; DIAZEFAST; DIAZEFAST; NOT FOUND; 10 MG COM CT BL ALPVDC LEIT X 10; GM2
526118901139113; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML ; GM2
526116203116111; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 10; GM2
526116201113115; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 14; GM2
526116202111116; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 20; GM2
526122702110113; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 1OO MG COM REV DESINT LENTA CT BL AL PLAS INC X 10; GM2
526122703117111; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV LIB RETARD CT BL AL PLAS INC X 20; GM2
526114050092406; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.125 MG COM CT BL AL AL X 30 ; GM2
526114050092506; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.25 MG COM CT BL AL AL X 30; GM2
526114050092606; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 1 MG COM CT BL AL AL X 30; GM2
526103902118111; DIMETICONA; DIMETICONA; DIMETICONA; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; GM2
526103901111113; DIMETICONA; DIMETICONA; DIMETICONA; 40 MG COM  CT BL AL PLAS INC X 20; GM2
526122201138112; DIMETICONA + METILBROMETO DE HOMATROPINA; DIMETICONA METILBROMETO HOMATROPINA; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS LEIT GOT X 20 ML ; GM2
526104001114114; DINITRATO DE ISOSSORBIDA; DINITRATO ISOSSORBIDA; DINITRATO ISOSSORBIDA; 10 MG COM CT BL AL PLAS INC X 30; GM2
526125001131119; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; GM2
526125004112115; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP)  ; GM2
526125002136114; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; GM2
526125003132112; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GM2
526116301169112; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.50 MG/G CREM DERM CT BG AL X 30 G ; GM2
526116302165110; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/G POM DERM CT BG AL X 30 G ; GM2
526117602162115; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G POM DERM CT BG AL X 30 G; GM2
526117601166117; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G CREM DERM CT BG AL X 30 G; GM2
526121301163110; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.5 MG/G + 30 MG/G POM DERM CT BG AL X 30 G; GM2
526121302178111; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.64 MG/ML + 20.00 MG/ML SOL TOP CT FR PLAS OPC X 30 ML ; GM2
526133302119119; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 30; GM2
526133301112110; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 60; GM2
526112030083406; DROSPIRENONA+ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS OPC X 21 ; GM2
526114070093803; DIABEMED; DIABEMED; NOT FOUND; 1 MG COM CT BL AL PLAS OPC X 30; GM2
526114070093903; DIABEMED; DIABEMED; NOT FOUND; 2 MG COM CT BL AL PLAS OPC X 30; GM2
526114070094003; DIABEMED; DIABEMED; NOT FOUND; 4 MG COM CT BL AL PLAS OPC X 30; GM2
526133701110417; DIABEMED; DIABEMED; NOT FOUND; 1 MG COM CT BL AL PLAS OPC X 60; GM2
526133702117415; DIABEMED; DIABEMED; NOT FOUND; 2 MG COM CT BL AL PLAS OPC X 60; GM2
526133703113413; DIABEMED; DIABEMED; NOT FOUND; 4 MG COM CT BL AL PLAS OPC X 60; GM2
526114080094103; DRENATAN; DRENATAN; NOT FOUND; 0.05 MG/ML SOL OFT CT FR PLAS TRANS GOT X 2.5 ML  ; GM2
526132401172419; DRENATAN; DRENATAN; NOT FOUND; 0.05 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML ; GM2
526104203132423; DORICAL; DORICAL; NOT FOUND; SUSP FR X 120ML; GM2
526104201113421; DORICAL; DORICAL; NOT FOUND; FR X 50 COMP REV; GM2
526104401112410; DOXAL; DOXAL; NOT FOUND; 2 BL X 10 DRG; GM2
526118801169118; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CT BG AL X 60 G; GM2
526122701165119; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 10 MG/G GEL CT BG AL X 60 G ; GM2
526133102160417; DERMAZELAIC; DERMAZELAIC; NOT FOUND; 150 MG/G GEL CT BG AL X 15 G; GM2
526133101164419; DERMAZELAIC; DERMAZELAIC; NOT FOUND; 150 MG/G GEL CT BG AL X 30 G; GM2
