521912120018514, CEDUR, CEDUR, NOT FOUND, 200 MG COM REV CT BL AL PLAS INC X 20, GMK
521912120018614, CEDUR, CEDUR, NOT FOUND, 400 MG COM AP CT BL AL PLAS INC X 30, GMK
521904001150114, CARBOPLATINA, CARBOPLATINA, CARBOPLATINA, 150 MG PO LIOF P/ SOL INJ IV CT FA VD INC X 20 ML, GMK
521904002157112, CARBOPLATINA, CARBOPLATINA, CARBOPLATINA, 450 MG PO LIOF P/ SOL INJ IV CT FA VD INC X 100 ML, GMK
521904801165418, CELAMINA, CELAMINA, NOT FOUND, 10 MG/G CREM DERM CT BG AL REV X 20 G , GMK
521904808178418, CELAMINA, CELAMINA, NOT FOUND, 10 MG/ML SOL TOP CT FR PLAS TRANS GOT X 15 ML, GMK
521903501151111, CLORIDRATO DE DOXORRUBICINA, CLORIDRATO DOXORRUBICINA, CLORIDRATO DOXORRUBICINA, 10 MG PO LIOF P/ SOL INJ CT FA VD INC, GMK
521903502156117, CLORIDRATO DE DOXORRUBICINA, CLORIDRATO DOXORRUBICINA, CLORIDRATO DOXORRUBICINA, 50 MG PO LIOF P/ SOL INJ CT FA VD INC, GMK
521904702159118, CLORIDRATO DE IRINOTECANO, CLORIDRATO IRINOTECANO, CLORIDRATO IRINOTECANO, 20 MG/ML SOL INJ IV CT FA VD AMB X 2 ML  , GMK
521904701152111, CLORIDRATO DE IRINOTECANO, CLORIDRATO IRINOTECANO, CLORIDRATO IRINOTECANO, 20 MG/ML SOL INJ IV CT FA VD AMB X 5 ML  , GMK
521905401160417, CLOTRIGEL, CLOTRIGEL, NOT FOUND, 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC, GMK
521901002131410, CLISTIN, CLISTIN, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 100 ML, GMK
521901001117414, CLISTIN, CLISTIN, NOT FOUND, 10 MG COM CT FR PLAS OPC X 12, GMK
521904901135413, CEGLEN ZINCO, CEGLEN ZINCO, NOT FOUND, 1000 MG + 10 MG COM EFEV TB PLAS X 10 (SABOR- LARANJA), GMK
521904902131411, CEGLEN ZINCO, CEGLEN ZINCO, NOT FOUND, 1000 MG + 10 MG COM EFEV TB PLAS X 15 (SABOR- LARANJA), GMK
521900809110415, CEGLEN, CEGLEN, NOT FOUND, 1 G COM EFERV CT TB PLAS X 10 (SABOR LARANJA), GMK
521900810119412, CEGLEN, CEGLEN, NOT FOUND, 2 G COM EFEV CT TB PLAS X 10 (SABOR LARANJA) , GMK
