510412020063003, BRONTEK, BRONTEK, NOT FOUND, 10 MG/ML XPE CT FR PEAD X 120 ML + CP MED, GOB
510412020063103, BRONTEK, BRONTEK, NOT FOUND, 10 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP), GOB
510413402133412, BRONTEK, BRONTEK, NOT FOUND, 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510412020063203, BRONTEK, BRONTEK, NOT FOUND, 5 MG/ML XPE CT FR PEAD X 120 ML + CP MED, GOB
510412020063303, BRONTEK, BRONTEK, NOT FOUND, 5 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP), GOB
510413401137414, BRONTEK, BRONTEK, NOT FOUND, 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510401302112411, BESILAPIN, BESILAPIN, NOT FOUND, 10 MG COM CT BL AL PLAS OPC X 20, GOB
510414010102206, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS OPC X 20, GOB
510412100077903, BESILAPIN, BESILAPIN, NOT FOUND, 10 MG COM CT BL AL PLAS OPC X 30, GOB
510414010102306, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS OPC X 30, GOB
510401305111414, BESILAPIN, BESILAPIN, NOT FOUND, 10 MG COM CT 50 BL AL PLAS OPC X 10 (EMB HOSP), GOB
510414010102506, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CX BL AL PLAS OPC X 500 (EMB HOSP), GOB
510412020063703, BESILAPIN, BESILAPIN, NOT FOUND, 10 MG COM CT BL AL PLAS OPC X 60, GOB
510414010102406, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS OPC X 60, GOB
510401301116411, BESILAPIN, BESILAPIN, NOT FOUND, 5 MG COM CT BL AL PLAS OPC X 20, GOB
