510408701160415, CETADEX, CETADEX, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 10 G , GOB
510413080097204, CISTEIL, CISTEIL, NOT FOUND, 120 MG/G GRAN SOL CT 10 ENV AL/PAP X 5G, GOB
510413080097304, CISTEIL, CISTEIL, NOT FOUND, 120 MG/G GRAN SOL CT 16 ENV AL/PAP X 5G, GOB
510412100079104, CISTEIL, CISTEIL, NOT FOUND, 120 MG/G GRAN SOL CT 200 ENV AL/PAP X 5G (EMB MULT), GOB
510413080097404, CISTEIL, CISTEIL, NOT FOUND, 120 MG/G GRAN SOL CT 50 ENV AL/PAP X 5G (EMB MULT), GOB
510412100079204, CISTEIL, CISTEIL, NOT FOUND, 120 MG/G GRAN SOL CT 500 ENV AL/PAP X 5G (EMB MULT), GOB
510412100079004, CISTEIL, CISTEIL, NOT FOUND, 120 MG/G GRAN SOL CT 60 ENV AL/PAP X 5G (EMB MULT), GOB
510413080096004, CISTEIL, CISTEIL, NOT FOUND, 20 MG/G GRAN SOL CT 10 ENV AL/PAP X 5G, GOB
510413080096104, CISTEIL, CISTEIL, NOT FOUND, 20 MG/G GRAN SOL CT 16 ENV AL/PAP X 5G, GOB
510413080096404, CISTEIL, CISTEIL, NOT FOUND, 20 MG/G GRAN SOL CT 200 ENV AL/PAP X 5G (EMB MULT), GOB
510413080096204, CISTEIL, CISTEIL, NOT FOUND, 20 MG/G GRAN SOL CT 50 ENV AL/PAP X 5G (EMB MULT), GOB
510413080096504, CISTEIL, CISTEIL, NOT FOUND, 20 MG/G GRAN SOL CT 500 ENV AL/PAP X 5G (EMB MULT), GOB
510413080096304, CISTEIL, CISTEIL, NOT FOUND, 20 MG/G GRAN SOL CT 60 ENV AL/PAP X 5G (EMB MULT), GOB
510413202134415, CISTEIL, CISTEIL, NOT FOUND, 20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), GOB
510413205133428, CISTEIL, CISTEIL, NOT FOUND, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, GOB
510413206131410, CISTEIL, CISTEIL, NOT FOUND, 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510413080096604, CISTEIL, CISTEIL, NOT FOUND, 40 MG/G GRAN SOL CT 10 ENV AL/PAP X 5G, GOB
510413080096704, CISTEIL, CISTEIL, NOT FOUND, 40 MG/G GRAN SOL CT 16 ENV AL/PAP X 5G, GOB
510413080097004, CISTEIL, CISTEIL, NOT FOUND, 40 MG/G GRAN SOL CT 200 ENV AL/PAP X 5G (EMB MULT), GOB
510413080096804, CISTEIL, CISTEIL, NOT FOUND, 40 MG/G GRAN SOL CT 50 ENV AL/PAP X 5G (EMB MULT), GOB
510413080097104, CISTEIL, CISTEIL, NOT FOUND, 40 MG/G GRAN SOL CT 500 ENV AL/PAP X 5G (EMB MULT), GOB
510413080096904, CISTEIL, CISTEIL, NOT FOUND, 40 MG/G GRAN SOL CT 60 ENV AL/PAP X 5G (EMB MULT), GOB
510413203130413, CISTEIL, CISTEIL, NOT FOUND, 40 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP) , GOB
510413204137421, CISTEIL, CISTEIL, NOT FOUND, 40 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, GOB
510413201138417, CISTEIL, CISTEIL, NOT FOUND, 40 MG/ML XPE CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP), GOB
510413207136416, CISTEIL, CISTEIL, NOT FOUND, 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510405402138413, CELETIL, CELETIL, NOT FOUND, 0.4MG/ML + 0.05MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510405405137418, CELETIL, CELETIL, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT 60 FR PEAD X 100 ML + 60 CP MED (EMB HOSP), GOB
510405407131417, CELETIL, CELETIL, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PEAD X 100 ML + CP MED, GOB
510405406133416, CELETIL, CELETIL, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP), GOB
510405408136412, CELETIL, CELETIL, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PEAD X 120 ML + CP MED, GOB
510405401115411, CELETIL, CELETIL, NOT FOUND, 2.0 MG + 0.25 MG COM BL AL PLAS INC X 20 , GOB
510400201118414, CAPOX, CAPOX, NOT FOUND, 12.5 MG COM CT 2 BL AL PLAS INC X 15, GOB
510400204117419, CAPOX, CAPOX, NOT FOUND, 12.5 MG COM CT 50 BL AL PLAS INC X 15 ( EMB HOSPITALAR ), GOB
510400202114412, CAPOX, CAPOX, NOT FOUND, 25 MG COM CT 2 BL AL PLAS INC X 15, GOB
510400205113417, CAPOX, CAPOX, NOT FOUND, 25 MG COM CX 50 BL AL PLAS INC X 15 ( EMB HOSPITALAR ), GOB
510400203110410, CAPOX, CAPOX, NOT FOUND, 50 MG COM CT 2 BL AL PLAS INC X 15, GOB
510400206111418, CAPOX, CAPOX, NOT FOUND, 50 MG COM CT 50 BL AL PLAS INC X 15 ( EMB HOSPITALAR ), GOB
510408602138111, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, GOB
510408605137114, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR PEAD X 100 ML + CP MED, GOB
510408608136119, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CX 60 FR PEAD X 100 ML + 60 CP MED (EMB HOSP), GOB
510408601131111, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, GOB
510408606133112, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CX 60 FR PEAD X 100 ML + 60 CP MED (EMB HOSP), GOB
510408607131113, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR PEAD X 100 ML + CP MED, GOB
510407201164111, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/G CREM DERM CT BG AL X 30 G, GOB
510407501168112, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G , GOB
510407502164110, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20MG/G + 0.5 MG/G CREM DERM CT BG AL X 30G , GOB
