510800301136118, ALBENDAZOL, ALBENDAZOL, ALBENDAZOL, 40 MG/ML SUS OR CT FR VD AMB X 10 ML, GP8
510800302132116, ALBENDAZOL, ALBENDAZOL, ALBENDAZOL, 40 MG/ML SUS OR CX 200 FR VD AMB X 10 ML (EMB HOSP), GP8
510800401130413, AMPICILIL, AMPICILIL, NOT FOUND, 250 MG/ 5ML PO PREP EXTEMP CT FR VD AMB X 60 ML, GP8
510800501119411, ATENUOL, ATENUOL, NOT FOUND, 100 MG CX C/ 28 CPR, GP8
510800502115411, ATENUOL, ATENUOL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 28, GP8
510800601113415, ATENUOL CRT, ATENUOL CRT, NOT FOUND, 100 + 25 MG COM CT BL AL PLAS X 28, GP8
510800602111416, ATENUOL CRT, ATENUOL CRT, NOT FOUND, 50 + 12.5 MG COM CT BL AL PLAS X 28, GP8
510800704117413, AZITROMICIL, AZITROMICIL, NOT FOUND, 1.000 MG COM REV CT 01 BL AL PLAS INC X 01 , GP8
510800701118419, AZITROMICIL, AZITROMICIL, NOT FOUND, 250 MG CAP GEL DURA CT BL AL PLAS INC X 4, GP8
510800702130412, AZITROMICIL, AZITROMICIL, NOT FOUND, 200MG/ 5ML PO SUS EXT CT FR PLAS OPC X 15 ML+FLAC DIL+SER DOS, GP8
510800703137410, AZITROMICIL, AZITROMICIL, NOT FOUND, 200MG/ 5ML PO SUS EXT CT FR PLAS OPC X 22.5 ML+FLAC DIL+SER DOS, GP8
510800705113411, AZITROMICIL, AZITROMICIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 3, GP8
510800202138414, AEROGREEN, AEROGREEN, NOT FOUND, 0.4 MG/ML XPE CX FR VD AMB X 100 ML, GP8
510800204130410, AEROGREEN, AEROGREEN, NOT FOUND, 0.4 MG/ML XPE CX 50 FR VD AMB X 100 ML, GP8
510800201115410, AEROGREEN, AEROGREEN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 20, GP8
510800205110413, AEROGREEN, AEROGREEN, NOT FOUND, 2 MG COM CX BL AL PLAS INC X 500, GP8
510800101110123, ÁCIDO ACETILSALICÍLICO, ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO, 100MG CX C/ 200 CPR, GP8
510800102117121, ÁCIDO ACETILSALICÍLICO, ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO, 500MG CX C/ 200 CPR, GP8
