511000301156415; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CT FA VD INC X 100 ML; GUE
511000302152413; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CX 10 FA VD INC X 100 ML; GUE
511012030006203; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CT 10 BOLS FLEX X 100 ML ; GUE
511000305151418; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CX 25 FA VD INC X 50 ML; GUE
511000307154414; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CT FA VD INC X 50 ML; GUE
511000306158416; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CT FA VD INC X 500 ML; GUE
511000303159411; HENETIX; HENETIX; NOT FOUND; 350 MG/ML SOL INJ CX 10 FA VD INC X 100 ML; GUE
511000309157410; HENETIX; HENETIX; NOT FOUND; 350 MG/ML SOL INJ CT  FA VD INC X 100 ML; GUE
511000304155411; HENETIX; HENETIX; NOT FOUND; 350 MG/ML SOL INJ CX 25 FA VD INC X 50 ML; GUE
511000308150412; HENETIX; HENETIX; NOT FOUND; 350 MG/ML SOL INJ CT  FA VD INC X 50 ML; GUE
511000310155418; HENETIX; HENETIX; NOT FOUND; 350 MG/ML SOL INJ CT FA VD INC X 500 ML; GUE
511000401150419; HEXABRIX 320; HEXABRIX 320; NOT FOUND; 320 MG/ML IODO SOL INJ CT  FA X 100 ML  + SUP. ESP. + EQUIP; GUE
511000403153415; HEXABRIX 320; HEXABRIX 320; NOT FOUND; 320 MG/ML IODO SOL INJ CX 10 FA X 100 ML; GUE
511000402157417; HEXABRIX 320; HEXABRIX 320; NOT FOUND; 320 MG/ML IODO SOL INJ CT  FA X 50 ML ; GUE
511000404151416; HEXABRIX 320; HEXABRIX 320; NOT FOUND; 320 MG/ML IODO SOL INJ CX 25 FA VD INC X 50 ML ; GUE
