511802901155115, LIDOCAINA, LIDOCAINA, LIDOCAINA, 2% S/VASO.(G).SOL.INJETAVEL.CX C/ 25 FR, HYP
511802901155115, LIDOCAINA, LIDOCAINA, LIDOCAINA, 2% S/VASO.(G).SOL.INJETAVEL.CX C/ 25 FR, HYP
511802901155115, LIDOCAINA, LIDOCAINA, LIDOCAINA, 2% S/VASO.(G).SOL.INJETAVEL.CX C/ 25 FR, HYP
511802901155115, LIDOCAINA, LIDOCAINA, LIDOCAINA, 2% S/VASO.(G).SOL.INJETAVEL.CX C/ 25 FR, HYP
511802901155115, LIDOCAINA, LIDOCAINA, LIDOCAINA, 2% S/VASO.(G).SOL.INJETAVEL.CX C/ 25 FR, HYP
511802901155115, LIDOCAINA, LIDOCAINA, LIDOCAINA, 2% S/VASO.(G).SOL.INJETAVEL.CX C/ 25 FR, HYP
511802901155115, LIDOCAINA, LIDOCAINA, LIDOCAINA, 2% S/VASO.(G).SOL.INJETAVEL.CX C/ 25 FR, HYP
511802901155115, LIDOCAINA, LIDOCAINA, LIDOCAINA, 2% S/VASO.(G).SOL.INJETAVEL.CX C/ 25 FR, HYP
511802901155115, LIDOCAINA, LIDOCAINA, LIDOCAINA, 2% S/VASO.(G).SOL.INJETAVEL.CX C/ 25 FR, HYP
511802901155115, LIDOCAINA, LIDOCAINA, LIDOCAINA, 2% S/VASO.(G).SOL.INJETAVEL.CX C/ 25 FR, HYP
511802901155115, LIDOCAINA, LIDOCAINA, LIDOCAINA, 2% S/VASO.(G).SOL.INJETAVEL.CX C/ 25 FR, HYP
