514507501170311, DACOGEN, DACOGEN, NOT FOUND, 50 MG PO LIOF INJ CT FA VD INC , J_C
514500401170310, DAKTARIN, DAKTARIN, NOT FOUND, 0.02G - LOC - FR - 30 ML, J_C
514500403165314, DAKTARIN, DAKTARIN, NOT FOUND, 20MG - GEL ORAL - BISN - 40 GRAMAS, J_C
514500501175314, DUROGESIC, DUROGESIC, NOT FOUND, 10 MG - 5 - ADES TRANSD - SAC, J_C
514500502171312, DUROGESIC, DUROGESIC, NOT FOUND, 2.5 MG - 5 - ADES TRANSD - SAC, J_C
514500503178310, DUROGESIC, DUROGESIC, NOT FOUND, 5 MG - 5 - ADES TRANSD - SAC, J_C
514500504174319, DUROGESIC, DUROGESIC, NOT FOUND, 7.5 MG - 5 - ADES TRANSD - SAC, J_C
514506802177315, DUROGESIC D-TRANS, DUROGESIC D TRANS, NOT FOUND, 12.6 MG ADES TRANSD MATRICIAL CT ENV X 5, J_C
514506803173313, DUROGESIC D-TRANS, DUROGESIC D TRANS, NOT FOUND, 16.8 MG ADES TRANSD MATRICIAL CT ENV X 5, J_C
514506801170317, DUROGESIC D-TRANS, DUROGESIC D TRANS, NOT FOUND, 2.1 MG ADES TRANSD MATRICIAL CT ENV X 5, J_C
514506804171314, DUROGESIC D-TRANS, DUROGESIC D TRANS, NOT FOUND, 4.2 MG ADES TRANSD MATRICIAL CT ENV X 5, J_C
514506805176311, DUROGESIC D-TRANS, DUROGESIC D TRANS, NOT FOUND, 8.4 MG ADES TRANSD MATRICIAL CT ENV X 5, J_C
514507501170311, DACOGEN, DACOGEN, NOT FOUND, 50 MG PO LIOF INJ CT FA VD INC , J_C
514500401170310, DAKTARIN, DAKTARIN, NOT FOUND, 0.02G - LOC - FR - 30 ML, J_C
514500403165314, DAKTARIN, DAKTARIN, NOT FOUND, 20MG - GEL ORAL - BISN - 40 GRAMAS, J_C
514500501175314, DUROGESIC, DUROGESIC, NOT FOUND, 10 MG - 5 - ADES TRANSD - SAC, J_C
514500502171312, DUROGESIC, DUROGESIC, NOT FOUND, 2.5 MG - 5 - ADES TRANSD - SAC, J_C
514500503178310, DUROGESIC, DUROGESIC, NOT FOUND, 5 MG - 5 - ADES TRANSD - SAC, J_C
514500504174319, DUROGESIC, DUROGESIC, NOT FOUND, 7.5 MG - 5 - ADES TRANSD - SAC, J_C
514506802177315, DUROGESIC D-TRANS, DUROGESIC D TRANS, NOT FOUND, 12.6 MG ADES TRANSD MATRICIAL CT ENV X 5, J_C
