522824001111414, CO-LABOPRIL, CO LABOPRIL, NOT FOUND, 50 MG + 25 MG COM CT 3 BL AL PLAS AMB X 10, L3B
522822901113417, CARDVITA H, CARDVITA H, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS INC X 14 , L3B
522822902111418, CARDVITA H, CARDVITA H, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS INC X 28 , L3B
522822903116413, CARDVITA H, CARDVITA H, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS INC X 30, L3B
522815010009103, CARDVITA, CARDVITA, NOT FOUND, 25 MG COM REV CT  BL AL PLAS INC X 500, L3B
522823003119414, CARDVITA, CARDVITA, NOT FOUND, 25 MG COM REV CT 2 BL AL PLAS INC X 14, L3B
522823002112416, CARDVITA, CARDVITA, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 14, L3B
522823001116418, CARDVITA, CARDVITA, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS INC X 14, L3B
522812060008403, CARDVITA, CARDVITA, NOT FOUND, 50 MG COM REV CT BL AL PLAS TRANS X 30, L3B
522824104113411, CARDIONATO, CARDIONATO, NOT FOUND, 10 MG COM CT FR VD AMB X 30, L3B
522824102110413, CARDIONATO, CARDIONATO, NOT FOUND, 2.5 MG COM CT FR PLAS OPC X 30, L3B
522824103117411, CARDIONATO, CARDIONATO, NOT FOUND, 20 MG COM CT FR VD AMB X 30, L3B
522824101114415, CARDIONATO, CARDIONATO, NOT FOUND, 5 MG COM CT FR VD AMB X 30, L3B
