523701101114415, DEFLANIL, DEFLANIL, NOT FOUND, 30MG X 10 COMP, LIB
523701102110413, DEFLANIL, DEFLANIL, NOT FOUND, 7.5MG X 20 COMP, LIB
523701104131418, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 13 ML, LIB
523701103133417, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 6.5 ML, LIB
523701201119419, DIMINUT, DIMINUT, NOT FOUND, 3 CARTELAS X 21 CP, LIB
523701202115417, DIMINUT, DIMINUT, NOT FOUND, EST.CALEND.C/ 21 COMP, LIB
523706502133411, DOCELIBBS, DOCELIBBS, NOT FOUND, 20 MG SOL INJ CX 1 FR VD, LIB
523706501153419, DOCELIBBS, DOCELIBBS, NOT FOUND, 80 MG SOL INJ CX CT FA VD INC X 2.0 ML+DIL X 6.0 ML, LIB
523701101114415, DEFLANIL, DEFLANIL, NOT FOUND, 30MG X 10 COMP, LIB
523701102110413, DEFLANIL, DEFLANIL, NOT FOUND, 7.5MG X 20 COMP, LIB
523701104131418, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 13 ML, LIB
523701103133417, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 6.5 ML, LIB
523701201119419, DIMINUT, DIMINUT, NOT FOUND, 3 CARTELAS X 21 CP, LIB
523701202115417, DIMINUT, DIMINUT, NOT FOUND, EST.CALEND.C/ 21 COMP, LIB
523706502133411, DOCELIBBS, DOCELIBBS, NOT FOUND, 20 MG SOL INJ CX 1 FR VD, LIB
523706501153419, DOCELIBBS, DOCELIBBS, NOT FOUND, 80 MG SOL INJ CX CT FA VD INC X 2.0 ML+DIL X 6.0 ML, LIB
523701101114415, DEFLANIL, DEFLANIL, NOT FOUND, 30MG X 10 COMP, LIB
523701102110413, DEFLANIL, DEFLANIL, NOT FOUND, 7.5MG X 20 COMP, LIB
523701104131418, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 13 ML, LIB
523701103133417, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 6.5 ML, LIB
523701201119419, DIMINUT, DIMINUT, NOT FOUND, 3 CARTELAS X 21 CP, LIB
523701202115417, DIMINUT, DIMINUT, NOT FOUND, EST.CALEND.C/ 21 COMP, LIB
523706502133411, DOCELIBBS, DOCELIBBS, NOT FOUND, 20 MG SOL INJ CX 1 FR VD, LIB
523706501153419, DOCELIBBS, DOCELIBBS, NOT FOUND, 80 MG SOL INJ CX CT FA VD INC X 2.0 ML+DIL X 6.0 ML, LIB
523701101114415, DEFLANIL, DEFLANIL, NOT FOUND, 30MG X 10 COMP, LIB
523701102110413, DEFLANIL, DEFLANIL, NOT FOUND, 7.5MG X 20 COMP, LIB
523701104131418, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 13 ML, LIB
523701103133417, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 6.5 ML, LIB
523701201119419, DIMINUT, DIMINUT, NOT FOUND, 3 CARTELAS X 21 CP, LIB
523701202115417, DIMINUT, DIMINUT, NOT FOUND, EST.CALEND.C/ 21 COMP, LIB
523706502133411, DOCELIBBS, DOCELIBBS, NOT FOUND, 20 MG SOL INJ CX 1 FR VD, LIB
523706501153419, DOCELIBBS, DOCELIBBS, NOT FOUND, 80 MG SOL INJ CX CT FA VD INC X 2.0 ML+DIL X 6.0 ML, LIB
523701101114415, DEFLANIL, DEFLANIL, NOT FOUND, 30MG X 10 COMP, LIB
523701102110413, DEFLANIL, DEFLANIL, NOT FOUND, 7.5MG X 20 COMP, LIB
523701104131418, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 13 ML, LIB
523701103133417, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 6.5 ML, LIB
523701201119419, DIMINUT, DIMINUT, NOT FOUND, 3 CARTELAS X 21 CP, LIB
523701202115417, DIMINUT, DIMINUT, NOT FOUND, EST.CALEND.C/ 21 COMP, LIB
523706502133411, DOCELIBBS, DOCELIBBS, NOT FOUND, 20 MG SOL INJ CX 1 FR VD, LIB
523706501153419, DOCELIBBS, DOCELIBBS, NOT FOUND, 80 MG SOL INJ CX CT FA VD INC X 2.0 ML+DIL X 6.0 ML, LIB
523701101114415, DEFLANIL, DEFLANIL, NOT FOUND, 30MG X 10 COMP, LIB
523701102110413, DEFLANIL, DEFLANIL, NOT FOUND, 7.5MG X 20 COMP, LIB
523701104131418, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 13 ML, LIB
523701103133417, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 6.5 ML, LIB
523701201119419, DIMINUT, DIMINUT, NOT FOUND, 3 CARTELAS X 21 CP, LIB
523701202115417, DIMINUT, DIMINUT, NOT FOUND, EST.CALEND.C/ 21 COMP, LIB
523706502133411, DOCELIBBS, DOCELIBBS, NOT FOUND, 20 MG SOL INJ CX 1 FR VD, LIB
523706501153419, DOCELIBBS, DOCELIBBS, NOT FOUND, 80 MG SOL INJ CX CT FA VD INC X 2.0 ML+DIL X 6.0 ML, LIB
523701101114415, DEFLANIL, DEFLANIL, NOT FOUND, 30MG X 10 COMP, LIB
523701102110413, DEFLANIL, DEFLANIL, NOT FOUND, 7.5MG X 20 COMP, LIB
523701104131418, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 13 ML, LIB
523701103133417, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 6.5 ML, LIB
523701201119419, DIMINUT, DIMINUT, NOT FOUND, 3 CARTELAS X 21 CP, LIB
523701202115417, DIMINUT, DIMINUT, NOT FOUND, EST.CALEND.C/ 21 COMP, LIB
523706502133411, DOCELIBBS, DOCELIBBS, NOT FOUND, 20 MG SOL INJ CX 1 FR VD, LIB
523706501153419, DOCELIBBS, DOCELIBBS, NOT FOUND, 80 MG SOL INJ CX CT FA VD INC X 2.0 ML+DIL X 6.0 ML, LIB
523701101114415, DEFLANIL, DEFLANIL, NOT FOUND, 30MG X 10 COMP, LIB
523701102110413, DEFLANIL, DEFLANIL, NOT FOUND, 7.5MG X 20 COMP, LIB
523701104131418, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 13 ML, LIB
523701103133417, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 6.5 ML, LIB
523701201119419, DIMINUT, DIMINUT, NOT FOUND, 3 CARTELAS X 21 CP, LIB
523701202115417, DIMINUT, DIMINUT, NOT FOUND, EST.CALEND.C/ 21 COMP, LIB
523706502133411, DOCELIBBS, DOCELIBBS, NOT FOUND, 20 MG SOL INJ CX 1 FR VD, LIB
523706501153419, DOCELIBBS, DOCELIBBS, NOT FOUND, 80 MG SOL INJ CX CT FA VD INC X 2.0 ML+DIL X 6.0 ML, LIB
523701101114415, DEFLANIL, DEFLANIL, NOT FOUND, 30MG X 10 COMP, LIB
523701102110413, DEFLANIL, DEFLANIL, NOT FOUND, 7.5MG X 20 COMP, LIB
523701104131418, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 13 ML, LIB
523701103133417, DEFLANIL, DEFLANIL, NOT FOUND, GOTAS FR. 6.5 ML, LIB
523701201119419, DIMINUT, DIMINUT, NOT FOUND, 3 CARTELAS X 21 CP, LIB
523701202115417, DIMINUT, DIMINUT, NOT FOUND, EST.CALEND.C/ 21 COMP, LIB
