523709401176411; TEGAN; TEGAN; NOT FOUND; 0.25 MG/ML SOL CAPI CT FR PLAS OPC X 100 ML + APLIC; LIB
523705603165418; TOPISON; TOPISON; NOT FOUND; 1 MG/G CREM DERM CT BG AL REV X 10 G; LIB
523705601162411; TOPISON; TOPISON; NOT FOUND; 1 MG/G CREM DERM CT BG PLAS OPC X 20 G; LIB
523705602169411; TOPISON; TOPISON; NOT FOUND; 1 MG/G POM DERM CT BG PLAS OPC X 20 G; LIB
523712030025404; TARFIC; TARFIC; NOT FOUND; 1 MG CAP GEL DURA CT BL AL AL X 100; LIB
523712030025504; TARFIC; TARFIC; NOT FOUND; 5 MG CAP GEL DURA CT BL AL AL X 50; LIB
523713080029204; TARFIC; TARFIC; NOT FOUND; 0.3 MG/G POM DERM CT BG PLAS OPC X 10 G; LIB
523713110029406; TACROLIMO; TACROLIMO; TACROLIMO; 0.3 MG/G POM DERM CT BG PLAS OPC X 10 G; LIB
523713080029304; TARFIC; TARFIC; NOT FOUND; 0.3 MG/G POM DERM CT BG PLAS OPC X 30 MG; LIB
523713110029506; TACROLIMO; TACROLIMO; TACROLIMO; 0.3 MG/G POM DERM CT BG PLAS OPC X 30 G; LIB
523713080029004; TARFIC; TARFIC; NOT FOUND; 1 MG/G POM DERM CT BG PLAS OPC X 10  G; LIB
523713110029606; TACROLIMO; TACROLIMO; TACROLIMO; 1 MG/G POM DERM CT BG PLAS OPC X 10 G; LIB
523713080029104; TARFIC; TARFIC; NOT FOUND; 1 MG/G POM DERM CT BG PLAS OPC X 30 G; LIB
523713110029706; TACROLIMO; TACROLIMO; TACROLIMO; 1 MG/G POM DERM CT BG PLAS OPC X 30 G; LIB
