525902901173418, TEOFILAB, TEOFILAB, NOT FOUND, FRASCO COM 200ML, MB9
525902901173418, TEOFILAB, TEOFILAB, NOT FOUND, FRASCO COM 200ML, MB9
525902901173418, TEOFILAB, TEOFILAB, NOT FOUND, FRASCO COM 200ML, MB9
525902901173418, TEOFILAB, TEOFILAB, NOT FOUND, FRASCO COM 200ML, MB9
525904501113112, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL/PVC X 30, MB9
525902901173418, TEOFILAB, TEOFILAB, NOT FOUND, FRASCO COM 200ML, MB9
525904501113112, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL/PVC X 30, MB9
525902901173418, TEOFILAB, TEOFILAB, NOT FOUND, FRASCO COM 200ML, MB9
525904501113112, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL/PVC X 30, MB9
525902901173418, TEOFILAB, TEOFILAB, NOT FOUND, FRASCO COM 200ML, MB9
525904501113112, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL/PVC X 30, MB9
525902901173418, TEOFILAB, TEOFILAB, NOT FOUND, FRASCO COM 200ML, MB9
525904501113112, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL/PVC X 30, MB9
525902901173418, TEOFILAB, TEOFILAB, NOT FOUND, FRASCO COM 200ML, MB9
525906101163410, TRIMAZEN, TRIMAZEN, NOT FOUND, 10 MG/G CREM DERM CT BG AL X 20 G, MB9
525904501113112, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL/PVC X 30, MB9
525902901173418, TEOFILAB, TEOFILAB, NOT FOUND, FRASCO COM 200ML, MB9
525906101163410, TRIMAZEN, TRIMAZEN, NOT FOUND, 10 MG/G CREM DERM CT BG AL X 20 G, MB9
525904501113112, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL/PVC X 30, MB9
525902901173418, TEOFILAB, TEOFILAB, NOT FOUND, FRASCO COM 200ML, MB9
