500401101111411, ABFOR GERIN, ABFOR GERIN, NOT FOUND, COM REV CT FR PLAS OPC X 30, MD6
500400503133411, ABCLER, ABCLER, NOT FOUND, (10 + 50 + 100) MG/ML SOL OR CT FR PLAS TRANS X 120 ML, MD6
500412040005603, ABCLER, ABCLER, NOT FOUND, (10 + 50 + 100) MG/ML SOL OR CT FR PLAS TRANS X 120 ML + COP, MD6
500400501130423, ABCLER, ABCLER, NOT FOUND, (10 + 50 + 100) MG/ML SOL OR CT 12 FLAC X 10 ML, MD6
500400502137421, ABCLER, ABCLER, NOT FOUND, (10 + 50 + 100) MG/ML SOL OR CT 60 FLAC X 10 ML (EMB MULT), MD6
500401802118412, ABEDERIL, ABEDERIL, NOT FOUND, 300 MG+ 125 MG+ 50 MG+ 30 MG COM CT BL AL PLAS INC X 12, MD6
500401801111414, ABEDERIL, ABEDERIL, NOT FOUND, 300 MG+ 125 MG+ 50 MG+ 30 MG COM CT BL AL PLAS INC X 30 , MD6
500401803114410, ABEDERIL, ABEDERIL, NOT FOUND, 300 MG+ 125 MG+ 50 MG+ 30 MG COM CT BL AL/PLAS INC X 400 (EMB HOSP), MD6
500401902112416, ABEPOTEN, ABEPOTEN, NOT FOUND, 12.5 MG COM CT BL AL PLAS INC X 20, MD6
500401905111410, ABEPOTEN, ABEPOTEN, NOT FOUND, 12.5 MG COM CT BL AL PLAS INC X 500 (EMB. HOSP.), MD6
500401903119414, ABEPOTEN, ABEPOTEN, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 20, MD6
500401901116418, ABEPOTEN, ABEPOTEN, NOT FOUND, 25 MG COM CT FR PLAS OPC X 28, MD6
500401906118419, ABEPOTEN, ABEPOTEN, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 500 (EMB. HOSP.), MD6
500401904115412, ABEPOTEN, ABEPOTEN, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 20, MD6
500401907114417, ABEPOTEN, ABEPOTEN, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 500 (EMB HOSP) , MD6
500400801134416, APEVINAT BC, APEVINAT BC, NOT FOUND, 0.8 MG/ML + 0.12 MG/ML + 0.15 MG/ML + 0.134 MG/ML + 1.334 MG/ML + 4.334 MG/ML SOL OR CT FR VD AMB X 200 ML, MD6
500400302138416, ABIFLAN, ABIFLAN, NOT FOUND, 15 MG/ML SUS OR CT  FR PLAS OPC X 20 ML, MD6
500400303118419, ABIFLAN, ABIFLAN, NOT FOUND, 50 MG COM REV CT BL AL PLAST INC X 1000 (EMB HOSP), MD6
500400301115412, ABIFLAN, ABIFLAN, NOT FOUND, 50 MG COM REV CT BL AL PLAST INC X 20, MD6
500401001131410, ABERALGINA, ABERALGINA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, MD6
500401002138419, ABERALGINA, ABERALGINA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, MD6
500401003134417, ABERALGINA, ABERALGINA, NOT FOUND, 500 MG / ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), MD6
500400401136421, ABCALCIUM B 12, ABCALCIUM B 12, NOT FOUND, SUS OR CT FR VD AMB X 200 ML, MD6
500400901112414, ABEDOSEC, ABEDOSEC, NOT FOUND, 10 MG CAP GEL DURA CT FR VD AMB X 14, MD6
500400902119412, ABEDOSEC, ABEDOSEC, NOT FOUND, 20 MG CAP GEL DURA CT FR VD AMB X 14, MD6
500400904111419, ABEDOSEC, ABEDOSEC, NOT FOUND, 20 MG CAP GEL DURA CT BL AL PLAS INC X 14, MD6
500400905118417, ABEDOSEC, ABEDOSEC, NOT FOUND, 20 MG CAP GEL DURA CT BL AL PLAS INC X 28, MD6
500400903115410, ABEDOSEC, ABEDOSEC, NOT FOUND, 20 MG CAP GEL DURA CT FR VD AMB X 7, MD6
500401701133416, ABIDOR, ABIDOR, NOT FOUND, 200 MG/ML SOL ORAL CT FR VD AMB GOT X 20 ML, MD6
500401702131417, ABIDOR, ABIDOR, NOT FOUND, 200 MG/ML SOL ORAL CT FR PLAS OPC GOT X 20 ML, MD6
