525406102111412, LUTENIL, LUTENIL, NOT FOUND, 5 MG COM CT CART BL AL PLAS INC X 10, M_S
525406101113411, LUTENIL, LUTENIL, NOT FOUND, 5 MG COM CT CART BL AL PLAS INC X 14, M_S
525421001159413, LUVERIS, LUVERIS, NOT FOUND, 75 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL , M_S
525405801111111, LISINOPRIL + HIDROCLOROTIAZIDA, LISINOPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM EST CT 3 BL AL PLAS INC X 10, M_S
525420602116117, LEVOTIROXINA SÓDICA, LEVOTIROXINA SODICA, LEVOTIROXINA SODICA, 100 MCG COM BL AL/ AL X 30, M_S
525420608114116, LEVOTIROXINA SÓDICA, LEVOTIROXINA SODICA, LEVOTIROXINA SODICA, 112 MCG COM BL AL/ AL X 30, M_S
525420603112115, LEVOTIROXINA SÓDICA, LEVOTIROXINA SODICA, LEVOTIROXINA SODICA, 125 MCG COM BL AL/ AL X 30, M_S
525420604119113, LEVOTIROXINA SÓDICA, LEVOTIROXINA SODICA, LEVOTIROXINA SODICA, 150 MCG COM BL AL/ AL X 30, M_S
525420605115111, LEVOTIROXINA SÓDICA, LEVOTIROXINA SODICA, LEVOTIROXINA SODICA, 175 MCG COM BL AL/ AL X 30, M_S
525420606111111, LEVOTIROXINA SÓDICA, LEVOTIROXINA SODICA, LEVOTIROXINA SODICA, 200 MCG COM BL AL/ AL X 30, M_S
525420610119111, LEVOTIROXINA SÓDICA, LEVOTIROXINA SODICA, LEVOTIROXINA SODICA, 25 MCG COM BL AL/ AL X 30, M_S
525420607118118, LEVOTIROXINA SÓDICA, LEVOTIROXINA SODICA, LEVOTIROXINA SODICA, 50 MCG COM BL AL/ AL X 30, M_S
525420601111111, LEVOTIROXINA SÓDICA, LEVOTIROXINA SODICA, LEVOTIROXINA SODICA, 75 MCG COM BL AL/ AL X 30, M_S
525420609110114, LEVOTIROXINA SÓDICA, LEVOTIROXINA SODICA, LEVOTIROXINA SODICA, 88 MCG COM BL AL/ AL X 30, M_S
525405704116112, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COM CT BL AL PLAS INC X 30, M_S
525405701117118, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COM CT BL AL PLAS INC X 30, M_S
525405703111117, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5 MG COM CT BL AL PLAS INC X 30 , M_S
525406002131111, LORATADINA, LORATADINA, LORATADINA, 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED , M_S
525406001119116, LORATADINA, LORATADINA, LORATADINA, 10 MG COM REV EST CT 2 BL AL PLAS AMB X 6 , M_S
525418601116111, LORAZEPAM, LORAZEPAM, LORAZEPAM, 1 MG COM CT BL AL PLAS INC X 20, M_S
525418602112111, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 20, M_S
525412080043503, LOSARTION, LOSARTION, NOT FOUND, 100 MG COM REV CT BL AL AL X 30, M_S
525418802111419, LOSARTION, LOSARTION, NOT FOUND, 50 MG COM REV EST CART BL AL PLAS INC X 10, M_S
525416901112115, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV EST CART BL AL PLAS INC X 30, M_S
525418801115410, LOSARTION, LOSARTION, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 30 , M_S
