510005601133416; FURP-DESMOPRESSINA; FURP DESMOPRESSINA; NOT FOUND; 0.1 MG/ML SOL NAS CT FR VD AMB X 5ML + CAN; NO_ACR
509400901116419; FONTO-VIT E; FONTO VIT E; NOT FOUND; FR C/25 CAPS.-1000 UI; NO_ACR
509400902112417; FONTO-VIT E; FONTO VIT E; NOT FOUND; FR C/50 CAPS.-400 UI; NO_ACR
519507001111419; FEMIGESTROL; FEMIGESTROL; NOT FOUND; 160 MG COM CT BL AL PLAS INC X 30; NO_ACR
509900301118412; FUNED-ALBENDAZOL; FUNED ALBENDAZOL; NOT FOUND; 200 MG COM CX 150 ENV KRAFT POLIET X 2; NO_ACR
525501101117315; FOSAMAX; FOSAMAX; NOT FOUND; 10 MG COM CT BL AL / PVC OPC X 15; NO_ACR
525501102113313; FOSAMAX; FOSAMAX; NOT FOUND; 10 MG COM CT BL AL / PVC OPC X 30; NO_ACR
525501103111314; FOSAMAX; FOSAMAX; NOT FOUND; 70 MG COM CT BL AL / PVC OPC X 4; NO_ACR
525503501112317; FOSAMAX D; FOSAMAX D; NOT FOUND; 70 MG + 2800 UI COM CT BL AL AL X 4; NO_ACR
525503502119315; FOSAMAX D; FOSAMAX D; NOT FOUND; 70 MG/5600 UI COM CT BL AL AL X 4; NO_ACR
510000301115411; FURP-AMINOFILINA; FURP AMINOFILINA; NOT FOUND; 100 MG COM CX 25 BL AL PLAS INC X 20 (EMB. HOSP.); NO_ACR
510000401136410; FURP-AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 50 MG/ML PO SUS OR CX 50 FR VD AMB X 150 ML (EMB. HOSP); NO_ACR
510000405131413; FURP-AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 50 MG/ML PO SUS OR 30 FR VD AMB X 150 ML (EMB HOSP); NO_ACR
510000402132419; FURP-AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP); NO_ACR
510000404119411; FURP-AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 500 MG CAP  GEL DURA CX 50 BL AL PLAS INC X 7 (EMB HOSP); NO_ACR
510000403112411; FURP-AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 500 MG CAP GEL DURA CX 50 BL AL PLAS INC X 10 (EMB HOSP); NO_ACR
510015020037603; FURP - AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 50 MG/ML PO SUS OR CX 30 FR VD AMB X 150 ML (EMB HOSP); NO_ACR
510012100012003; FURP - AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 50 MG/ML PO SUS OR PACK 50 FR VD AMB X 150 ML (EMB. HOSP) ; NO_ACR
510000601151413; FURP-AMPICILINA; FURP AMPICILINA; NOT FOUND; 200 MG/ML PO INJ CX 50 FA VD INC + DIL CX 50 AMP VD INC X 5 ML (EMB. HOSP); NO_ACR
510000602158411; FURP-AMPICILINA; FURP AMPICILINA; NOT FOUND; 100 MG/ML PO INJ CX 50 FA VD INC + DIL CX 50 AMP VD INC X 5 ML ( EMB. HOSP); NO_ACR
510006102114414; FURP-ATENOLOL; FURP ATENOLOL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 560 (EMB HOSP); NO_ACR
510006101118416; FURP-ATENOLOL; FURP ATENOLOL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); NO_ACR
510000701113416; FURP-AZATIOPRINA; FURP AZATIOPRINA; NOT FOUND; 50 MG COM CX 50 ENV AL POLIET X 10 (EMB HOSP); NO_ACR
509902801169411; FUNED-NEOMICINA+BACITRACINA; FUNED NEOMICINA BACITRACINA; NOT FOUND; 5 MG/ 250 UI POM DERM CX 50 BG AL X 10 G; NO_ACR
510015010024703; FURP-BENZILPENICILINA BENZATINA; FURP BENZILPENICILINA BENZATINA; NOT FOUND; 600000 UI PO INJ CX 50 FA VD TRANS  (EMB HOSP); NO_ACR
510015010024803; FURP-BENZILPENICILINA BENZATINA; FURP BENZILPENICILINA BENZATINA; NOT FOUND; 1200000 UI PO INJ  CX 50 FA VD TRANS ( EMB HOSP); NO_ACR
510000801150410; FURP-BENZILPENICILINA BENZATINA; FURP BENZILPENICILINA BENZATINA; NOT FOUND; 1200000 UI PO INJ CX 50 FA VD INC + DIL CX 50 AMP X 5 ML (EMB HOSP); NO_ACR
510000802157419; FURP-BENZILPENICILINA BENZATINA; FURP BENZILPENICILINA BENZATINA; NOT FOUND; 600000 UI PO INJ CX 50 FA VD INC + DIL CX 50 AMP X 5 ML (EMB HOSP); NO_ACR
510015010030603; FURP-BENZILPENICILINA PROCAINA + BENZILPENICILINA POTASSICA; FURP BENZILPENICILINA PROCAINA BENZILPENICILINA POTASSICA; NOT FOUND; 300.000 UI + 100.000 UI PO INJ CX 50 FA VD TRANS (EMB HOSP) ; NO_ACR
510006201155410; FURP-BENZILPENICILINA PROCAÍNA + BENZILPENICILINA POTÁSSICA; FURP BENZILPENICILINA PROCAINA BENZILPENICILINA POTASSICA; NOT FOUND; 300.000 UI + 100.000 UI PO INJ CX 50 FA VD INC + DIL CX 50 AMP X 2 ML (EMB HOSP); NO_ACR
510000901155414; FURP-BENZILPENICILINA; FURP BENZILPENICILINA; NOT FOUND; (300000+100000) UI PO INJ CX 50 FA VD INC+DIL CX 50 AMPX5 ML(EMB HOSP); NO_ACR
508601901174414; FARMACART; FARMACART; NOT FOUND; PO SECO HD BIC FR PLAS X 1100 G; NO_ACR
508601902170412; FARMACART; FARMACART; NOT FOUND; PO SECO HD BIC FR PLAS X 720 G; NO_ACR
508600701155418; FARMACART; FARMACART; NOT FOUND; PO SECO HD BIC SACO PLAS X 840 G; NO_ACR
508601903177410; FARMACART; FARMACART; NOT FOUND; PO SECO HD BIC FR PLAS X 900 G; NO_ACR
510003501115411; FURP-HIOSCINA; FURP HIOSCINA; NOT FOUND; 10 MG COM REV CX 50 ENV AL POLIET X 10 (EMB. HOSP.) ; NO_ACR
505203703130415; FLEXDOR; FLEXDOR; NOT FOUND; 35 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; NO_ACR
505203701111413; FLEXDOR; FLEXDOR; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT 10 STR AL X 10; NO_ACR
505203702118411; FLEXDOR; FLEXDOR; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT STR AL X 8; NO_ACR
509900601111413; FUNED-CAPTOPRIL; FUNED CAPTOPRIL; NOT FOUND; 25 MG COM CX 50 BL AL PLAS INC X 10 (EMB. HOSP.); NO_ACR
541914040004004; FARMANGUINHOS CAPTOPRIL; FARMANGUINHOS CAPTOPRIL; NOT FOUND; 25 MG COM CT 25 BL AL PLAS INC X 20; NO_ACR
510001001115414; FURP-CAPTOPRIL; FURP CAPTOPRIL; NOT FOUND; 25 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); NO_ACR
510001101111410; FURP-CARBAMAZEPINA; FURP CARBAMAZEPINA; NOT FOUND; 200 MG COM CX 50 BL AL PLAS INC X 10 ( EMB HOSP); NO_ACR
510012060010703; FURP -CARBAMAZEPINA; FURP CARBAMAZEPINA; NOT FOUND; 200 MG COM CX BL AL PLAS OPC X 500  ( EMB HOSP) ; NO_ACR
510001202137415; FURP-CEFALEXINA; FURP CEFALEXINA; NOT FOUND; 2.5 PCC PO PREP EXTEMP SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP); NO_ACR
510001204131414; FURP-CEFALEXINA; FURP CEFALEXINA; NOT FOUND; 5 PCC PO PREP EXTEMP SUS OR CX 50 FR VD AMB X 60 ML (EMB. HOSP.); NO_ACR
510001203117418; FURP-CEFALEXINA; FURP CEFALEXINA; NOT FOUND; 500 MG CAP GEL DURA CX BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
510001201114411; FURP-CEFALEXINA; FURP CEFALEXINA; NOT FOUND; 500 MG CAP GEL DURA CX 50 BL AL PLAS INC X 10 (EMB HOSP); NO_ACR
501807705152415; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC; NO_ACR
541312030008004; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML   ; NO_ACR
541312030008104; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL  PLAS X 10 ML; NO_ACR
541312030008204; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC; NO_ACR
