522101202167413; METADEX; METADEX; NOT FOUND; 1 MG/G CREM CT BG AL X 10 G; NO_ACR
505205601114417; MEMORIOGLUTAN; MEMORIOGLUTAN; NOT FOUND; FR 50 DRG; NO_ACR
519703901111415; MULTIVITAM; MULTIVITAM; NOT FOUND; CX. C/50 FRX30 COMP; NO_ACR
519703902116410; MULTIVITAM; MULTIVITAM; NOT FOUND; COM REV CX 25 FR PLAS OPC X 30; NO_ACR
532902902131415; MUCOCETIL; MUCOCETIL; NOT FOUND; 600 MG/5G GRAN CT 16 ENV AL ; NO_ACR
532902901133414; MUCOCETIL; MUCOCETIL; NOT FOUND; 100 MG/5G GRAN CT 16 ENV AL ; NO_ACR
532902906135415; MUCOCETIL; MUCOCETIL; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML ; NO_ACR
532902907131413; MUCOCETIL; MUCOCETIL; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 150 ML ; NO_ACR
532902904132419; MUCOCETIL; MUCOCETIL; NOT FOUND; 200 MG/5G GRAN CT 16 ENV AL ; NO_ACR
532902701118411; MINUSORB; MINUSORB; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 15; NO_ACR
532902702114411; MINUSORB; MINUSORB; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 15; NO_ACR
532902703110418; MINUSORB; MINUSORB; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 4; NO_ACR
501804701156411; MINOTON; MINOTON; NOT FOUND; 24 MG/ML SOL INJ CX 100 AMP X 10 ML; NO_ACR
541312030007303; MINOTON; MINOTON; NOT FOUND; 24 MG/ML SOL INJ CX 100 AMP X 10 ML; NO_ACR
522712120029704; MORFEGIX; MORFEGIX; NOT FOUND; 100 MG PO LIOF INJ IV CT FA VD TRANS (EMB HOSP) ; NO_ACR
522712120029804; MORFEGIX; MORFEGIX; NOT FOUND; 100 MG PO LIOF INJ IV CT 2 FA VD TRANS (EMB HOSP); NO_ACR
522712120029904; MORFEGIX; MORFEGIX; NOT FOUND; 100 MG PO LIOF INJ IV CT 15 FA VD TRANS (EMB HOSP); NO_ACR
525501401110219; MAXALT; MAXALT; NOT FOUND; 10 MG COM REV CT BL AL AL X 2; NO_ACR
525501403113215; MAXALT; MAXALT; NOT FOUND; 5 MG COM REV CT BL AL/AL X 2; NO_ACR
516301202174411; MALVONA; MALVONA; NOT FOUND; 0.2 MG /ML+ 60 MG /ML+ 1 MG/ML SOL TOP CT FR VD AMB X 100 ML; NO_ACR
516301201178411; MALVONA; MALVONA; NOT FOUND; 0.2 MG/ML + 60 MG/ML + 1 MG/ML SOL TOP CT FR VD AMB X 200 ML; NO_ACR
516300805134421; MALVATRICIN; MALVATRICIN; NOT FOUND; SOLUCAO - 0.3MG/ML+10MG/ML SOL OR FR VD INC X 100ML; NO_ACR
516300803115428; MALVATRICIN; MALVATRICIN; NOT FOUND; PASTILHAS - 1.0MG/G+0.7MG/G+5.0MG/G PAST CT 3 STR AL X 4 (MENTOL); NO_ACR
516300807171411; MALVATRICIN; MALVATRICIN; NOT FOUND; 0.1 MG / ML + 1 MG / ML SOL TOP FR PLAS VERDE (PET) X 250 ML; NO_ACR
516300806130428; MALVATRICIN; MALVATRICIN; NOT FOUND; SPRAY - 1MG/ML+2MG/ML+4MG/ML SOL OR FR VD INC SPRAY X 50ML; NO_ACR
516300801163425; MALVATRICIN; MALVATRICIN; NOT FOUND; GEL - CT BG PLAS OPC X 50G; NO_ACR
507716901136112; MALEATO DE DEXCLOR.+BETAMETASONA; MALEATO DEXCLOR BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML; NO_ACR
521126901133119; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; NO_ACR
531612201114118; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20; NO_ACR
507716902116115; MALEATO DE DEXCLOR.+BETAMETASONA; MALEATO DEXCLOR BETAMETASONA; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20; NO_ACR
522709802113415; MAGNÉSIA BISURADA; MAGNESIA BISURADA; NOT FOUND; 63.70 MG + 521.0 MG + 67.0 MG + 3.30 MG PAST CT BL AL PLAS INC X 200; NO_ACR
522709801117417; MAGNÉSIA BISURADA; MAGNESIA BISURADA; NOT FOUND; 63.70 MG + 521.0 MG + 67.0 MG + 3.30 MG PAST CT BL AL PLAS INC X 40; NO_ACR
510605101115311; MYLERAN; MYLERAN; NOT FOUND; 2 MG COM REV CT FR VD AMB X 25; NO_ACR
531625301112410; MIGRALIV; MIGRALIV; NOT FOUND; 1.0 MG + 350.0 MG + 100.0 MG COM CT BL AL PLAS INC X 12; NO_ACR
515101501110423; MAXIDRIN; MAXIDRIN; NOT FOUND; 500MG COMP REV 3 BL AL X 4; NO_ACR
515101502117421; MAXIDRIN; MAXIDRIN; NOT FOUND; 500MG COMP REV 30 BL AL X 4; NO_ACR
540912100007113; MELHORAL; MELHORAL; NOT FOUND; 500 MG  + 30 MG COM DISP BL AL PLAS TRANS X 200 (EMB MULT) ; NO_ACR
531627002139410; MUCOTOSS; MUCOTOSS; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
531627001132412; MUCOTOSS; MUCOTOSS; NOT FOUND; 50 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
507741701171411; MUPIROX; MUPIROX; NOT FOUND; 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML; NO_ACR
534314110001404; MONESSA; MONESSA; NOT FOUND; 60MG + 20MG + 60MG + 100MG + 20MG + 20MG CAP GEL DURA CT BL AL PLAS INC X 30 ; NO_ACR
534314110001504; MONESSA; MONESSA; NOT FOUND; 60MG + 20MG + 60MG + 100MG + 20MG + 20MG CAP GEL DURA CT BL AL PLAS INC X 60 ; NO_ACR
534314110001604; MONESSA; MONESSA; NOT FOUND; 60MG + 20MG + 60MG + 100MG + 20MG + 20MG CAP GEL DURA CT BL AL PLAS INC X 90 ; NO_ACR
521124301112416; MAXAPRAN; MAXAPRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
521124302119414; MAXAPRAN; MAXAPRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
521114030060203; MAXAPRAN; MAXAPRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 60; NO_ACR
521124303115412; MAXAPRAN; MAXAPRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
508502501135316; MIOCALVEN D; MIOCALVEN D; NOT FOUND; 500 MG + 200 UI PO SUS OR CT 30 SACH X 4 G; NO_ACR
508502502131314; MIOCALVEN D; MIOCALVEN D; NOT FOUND; 500  MG + 200 UI PO SUS OR CT 60 SACH X 4 G; NO_ACR
528600701151411; MEPIVALEM AD; MEPIVALEM AD; NOT FOUND; 2 PCC + 10 MCG/ML SOL INJ LT 50 CARPULES PLAS TRANS X 1.8 ML; NO_ACR
525504601110314; MODURETIC; MODURETIC; NOT FOUND; 25 MG + 2.5 MG COM CT BL AL PLAS INC X 30 ; NO_ACR
525504602117312; MODURETIC; MODURETIC; NOT FOUND; 50 MG + 5 MG COM CT BL AL PLAS INC X 30; NO_ACR
521110001111414; MIODARON; MIODARON; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; NO_ACR
516312030002503; MALVATRICIN; MALVATRICIN; NOT FOUND; 1.0 MG/G + 0.7 MG/G + 5.0 MG/G PAS CT STR AL X 8 (MENTOL); NO_ACR
531622601115410; MUSCUPRINA; MUSCUPRINA; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 15; NO_ACR
531622602111419; MUSCUPRINA; MUSCUPRINA; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
519513040020214; MIMPARA; MIMPARA; NOT FOUND; 30MG COM REV CT FR PLAS OPC X 30 ; NO_ACR
519513040020314; MIMPARA; MIMPARA; NOT FOUND; 60MG COM REV CT FR PLAS OPC X 30  ; NO_ACR
519513040020414; MIMPARA; MIMPARA; NOT FOUND; 90MG COM REV CT FR PLAS OPC X 30  ; NO_ACR
532907601111416; MEPRAMIN; MEPRAMIN; NOT FOUND; 10 MG DRG CT BL AL PVC X 20 ; NO_ACR
532907602118414; MEPRAMIN; MEPRAMIN; NOT FOUND; 10 MG DRG CX 10 BL AL PVC X 20; NO_ACR
532907604110410; MEPRAMIN; MEPRAMIN; NOT FOUND; 25 MG DRG CT BL AL PVC X 20 ; NO_ACR
532907603114412; MEPRAMIN; MEPRAMIN; NOT FOUND; 25 MG DRG CT 10 BL AL PVC X 20 ; NO_ACR
522713120030904; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 10; NO_ACR
522714030038303; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/120 TRANS X 10; NO_ACR
522714030038703; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/40 TRANS  X 10; NO_ACR
522713120031004; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 20; NO_ACR
522714030038403; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC 250/120 TRANS  X 20; NO_ACR
522714030038803; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/40 TRANS X 20; NO_ACR
522713120031104; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 30; NO_ACR
522714030038503; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/120 TRANS  X 30; NO_ACR
