526304001150415, AMINOTRAT, AMINOTRAT, NOT FOUND, 24 MG/ML SOL INJ IM IV CX 50 AMP VD AMB X 10 ML (EMB HOSP), NVA
526300202151416, AMPICILINA - AMPLATIL, AMPICILINA AMPLATIL, NOT FOUND, 1G PO INJ CX 50 FR/AMP SEM DILUENTE, NVA
526300204154412, AMPICILINA - AMPLATIL, AMPICILINA AMPLATIL, NOT FOUND, 500MG PO INJ CX 50 FR/AMP SEM DILUENTE , NVA
526303701159115, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO P/ SOL INJ CX 20 FA VD INC X 3.2 ML (EMB HOSP), NVA
526304501153413, AZEUS, AZEUS, NOT FOUND, 1G PO SOL INJ IM IV CT 01 FA VD INC (EMB HOSP), NVA
526304001150415, AMINOTRAT, AMINOTRAT, NOT FOUND, 24 MG/ML SOL INJ IM IV CX 50 AMP VD AMB X 10 ML (EMB HOSP), NVA
526300202151416, AMPICILINA - AMPLATIL, AMPICILINA AMPLATIL, NOT FOUND, 1G PO INJ CX 50 FR/AMP SEM DILUENTE, NVA
526300204154412, AMPICILINA - AMPLATIL, AMPICILINA AMPLATIL, NOT FOUND, 500MG PO INJ CX 50 FR/AMP SEM DILUENTE , NVA
526303701159115, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO P/ SOL INJ CX 20 FA VD INC X 3.2 ML (EMB HOSP), NVA
526304501153413, AZEUS, AZEUS, NOT FOUND, 1G PO SOL INJ IM IV CT 01 FA VD INC (EMB HOSP), NVA
526304001150415, AMINOTRAT, AMINOTRAT, NOT FOUND, 24 MG/ML SOL INJ IM IV CX 50 AMP VD AMB X 10 ML (EMB HOSP), NVA
526300202151416, AMPICILINA - AMPLATIL, AMPICILINA AMPLATIL, NOT FOUND, 1G PO INJ CX 50 FR/AMP SEM DILUENTE, NVA
526300204154412, AMPICILINA - AMPLATIL, AMPICILINA AMPLATIL, NOT FOUND, 500MG PO INJ CX 50 FR/AMP SEM DILUENTE , NVA
526303701159115, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO P/ SOL INJ CX 20 FA VD INC X 3.2 ML (EMB HOSP), NVA
526304501153413, AZEUS, AZEUS, NOT FOUND, 1G PO SOL INJ IM IV CT 01 FA VD INC (EMB HOSP), NVA
526304001150415, AMINOTRAT, AMINOTRAT, NOT FOUND, 24 MG/ML SOL INJ IM IV CX 50 AMP VD AMB X 10 ML (EMB HOSP), NVA
526300202151416, AMPICILINA - AMPLATIL, AMPICILINA AMPLATIL, NOT FOUND, 1G PO INJ CX 50 FR/AMP SEM DILUENTE, NVA
526300204154412, AMPICILINA - AMPLATIL, AMPICILINA AMPLATIL, NOT FOUND, 500MG PO INJ CX 50 FR/AMP SEM DILUENTE , NVA
526303701159115, AMPICILINA SÓDICA + SULBACTAM SÓDICA, AMPICILINA SODICA SULBACTAM SODICA, NOT FOUND, 1 G + 0.5 G PO P/ SOL INJ CX 20 FA VD INC X 3.2 ML (EMB HOSP), NVA
526304501153413, AZEUS, AZEUS, NOT FOUND, 1G PO SOL INJ IM IV CT 01 FA VD INC (EMB HOSP), NVA
526304001150415, AMINOTRAT, AMINOTRAT, NOT FOUND, 24 MG/ML SOL INJ IM IV CX 50 AMP VD AMB X 10 ML (EMB HOSP), NVA
526300202151416, AMPICILINA - AMPLATIL, AMPICILINA AMPLATIL, NOT FOUND, 1G PO INJ CX 50 FR/AMP SEM DILUENTE, NVA
