526601504157414, NOVOSEVEN, NOVOSEVEN, NOT FOUND, 1 MG (50 KUI) PO LIOF INJ CT FR VD INC + FR VD INC DIL X 1.1 ML, N_N
526601501158411, NOVOSEVEN, NOVOSEVEN, NOT FOUND, 120 KUI (2.4 MG) PO LIOF CX FR VD INC +  4.3 ML + SER PLAST X 6 ML, N_N
526601505153412, NOVOSEVEN, NOVOSEVEN, NOT FOUND, 2 MG (100 KUI) PO LIOF INJ CT FR VD INC + FR VD INC DIL X 2.1 ML, N_N
526601502154418, NOVOSEVEN, NOVOSEVEN, NOT FOUND, 240 KUI (4.8 MG) PO LIOF CX FR VD INC + 8.5 ML + SER PLAST X 12 ML, N_N
526601506151413, NOVOSEVEN, NOVOSEVEN, NOT FOUND, 5 MG (250 KUI) PO LIOF INJ CT FR VD INC + FR VD INC DIL X 5.2 ML, N_N
526601503150416, NOVOSEVEN, NOVOSEVEN, NOT FOUND, 60 KUI (1.2 MG) PO LIOF CX FR VD INC +  2.2 ML + SER PLAST X 3 ML, N_N
526601801151410, NOVORAPID, NOVORAPID, NOT FOUND, 100 U/ML SOL INJ CT FA VD INC X 10 ML, N_N
526601401153416, NOVORAPID, NOVORAPID, NOT FOUND, 100 U/ML SOL INJ CT 5 CARP VD INC X 3 ML (PENFILL), N_N
526601402151417, NOVORAPID, NOVORAPID, NOT FOUND, 100 U/ML SOL INJ CX 01 CARP X 3 ML X 1 SIST APL PLAS, N_N
526601901156414, NOVORAPID, NOVORAPID, NOT FOUND, 100 U/ML SOL INJ CT 5 CARP VD INC X 3 ML X 5 SIST APLIC PLAST (FLEXPEN), N_N
526602001159415, NOVOMIX 30, NOVOMIX 30, NOT FOUND, 100 U/ML SUS INJ CT 5 CARP VD INC X 3 ML X 5 SIST APL PLAS (FLEXPEN), N_N
526602002155316, NOVOMIX 30, NOVOMIX 30, NOT FOUND, 100 U/ML SUS INJ CT 5 CARP VD INC X 3 ML (PENFILL), N_N
526613040007503, NOVORAPID, NOVORAPID, NOT FOUND, 100 U/ML SOL INJ CT 1 CARP VD INC X 3 ML + 1 SIST APLIC PLAST, N_N
526613040007603, NOVORAPID, NOVORAPID, NOT FOUND, 100 U/ML SOL INJ CT 5 CARP VD INC X 3 ML + 5 SIST APLIC PLAST 10, N_N
526601110159418, NOVOLIN N, NOVOLIN N, NOT FOUND, 100 UI/ML SUS INJ CT FA VD INC X 10 ML, N_N
526601115150419, NOVOLIN R, NOVOLIN R, NOT FOUND, 100 UI/ML SOL INJ CT 1 FA VD INC X 10 ML, N_N
526601113158412, NOVOLIN N, NOVOLIN N, NOT FOUND, 100 UI/ML SUS INJ CT 5 CARP VD INC X 3 ML (PENFILL), N_N
526601116157417, NOVOLIN R, NOVOLIN R, NOT FOUND, 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML (PENFILL), N_N
526601202118416, NOVONORM, NOVONORM, NOT FOUND, 0.5 MG COM CT BL AL/AL X 30, N_N
526601201111418, NOVONORM, NOVONORM, NOT FOUND, 1.0 MG COM CT BL AL/AL X 30, N_N
526601203114414, NOVONORM, NOVONORM, NOT FOUND, 2.0 MG COM CT BL AL/AL X 30, N_N
526600911158411, NORDITROPIN, NORDITROPIN, NOT FOUND, 10MG SOL INJ CT 1 CARP VD INC X 1.5 ML X 1 SIST APLIC PLAST, N_N
526602202154410, NORDITROPIN, NORDITROPIN, NOT FOUND, 10 MG SOL INJ CT 1 CARP VD INC X 1.5 ML X 1 SIST APLIC PLAST., N_N
526602203150419, NORDITROPIN, NORDITROPIN, NOT FOUND, 15 MG SOL INJ CT 1 CARP VD INC X 1.5 ML X 1 SIST APLIC PLAST ., N_N
526602201158412, NORDITROPIN, NORDITROPIN, NOT FOUND, 5 MG SOL INJ CT 1 CARP VD INC X 1.5 ML X 1 SIST APLIC PLAST., N_N
