522234401152419, CAVERJECT, CAVERJECT, NOT FOUND, 10 MCG PO LIOF INJ EST FA VD INC + SER VD INC X 1 ML DIL + 2 AG + 2 COMPRES ANTIS, PFZ
522234402159417, CAVERJECT, CAVERJECT, NOT FOUND, 20 MCG PO LIOF INJ EST FA VD INC + SER VD INC X 1 ML DIL + 2 AG + 2 COMPRES ANTIS, PFZ
522212050053403, CITALOR, CITALOR, NOT FOUND, 10 MG COM REV CT BL AL/AL X 20, PFZ
522200802111212, CITALOR, CITALOR, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, PFZ
522212050053503, CITALOR, CITALOR, NOT FOUND, 10 MG COM REV CT BL AL/AL X 60, PFZ
522212050053603, CITALOR, CITALOR, NOT FOUND, 10 MG COM REV CT BL AL/AL X 90  , PFZ
522212050053703, CITALOR, CITALOR, NOT FOUND, 20 MG COM REV CT BL AL/AL X 20, PFZ
522200804114219, CITALOR, CITALOR, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, PFZ
522212050053803, CITALOR, CITALOR, NOT FOUND, 20 MG COM REV CT BL AL/AL X 60, PFZ
522212050053903, CITALOR, CITALOR, NOT FOUND, 20 MG COM REV CT BL AL/AL X 90 , PFZ
522200807113213, CITALOR, CITALOR, NOT FOUND, 40 MG COM REV CT BL AL/AL X 10, PFZ
522212050054003, CITALOR, CITALOR, NOT FOUND, 40 MG COM REV CT BL AL/AL X 20, PFZ
522200805110217, CITALOR, CITALOR, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, PFZ
522212050054103, CITALOR, CITALOR, NOT FOUND, 40 MG COM REV CT BL AL/AL X 60 , PFZ
522212050054203, CITALOR, CITALOR, NOT FOUND, 40 MG COM REV CT BL AL/AL X 90, PFZ
522200806117215, CITALOR, CITALOR, NOT FOUND, 80 MG COM REV CT BL AL/AL X 30, PFZ
522212050054303, CITALOR, CITALOR, NOT FOUND, 80 MG COM REV CT BL AL/AL X 60 , PFZ
522212050054403, CITALOR, CITALOR, NOT FOUND, 80 MG COM REV CT BL AL/AL X 90, PFZ
522234101116311, CADUET, CADUET, NOT FOUND, 5 MG + 10 MG COM REV CT BL AL/AL X 10, PFZ
522234106118310, CADUET, CADUET, NOT FOUND, 5 MG + 10 MG COM REV CT BL AL/AL X 30 , PFZ
522234102112318, CADUET, CADUET, NOT FOUND, 10 MG + 10 MG COM REV CT BL AL/AL X 10, PFZ
522234103119316, CADUET, CADUET, NOT FOUND, 10 MG + 10 MG COM REV CT BL AL/AL X 30 , PFZ
522234104115314, CADUET, CADUET, NOT FOUND, 10 MG + 20 MG COM REV CT BL AL/AL X 10, PFZ
522234108110317, CADUET, CADUET, NOT FOUND, 5 MG + 20 MG COM REV CT BL AL/AL X 10, PFZ
522234105111312, CADUET, CADUET, NOT FOUND, 10 MG + 20 MG COM REV CT BL AL/AL X 30 , PFZ
522234107114319, CADUET, CADUET, NOT FOUND, 5 MG + 20 MG COM REV CT BL AL/AL X 30 , PFZ
522213110056106, CELECOXIBE, CELECOXIBE, CELECOXIBE, 100 MG CAP DURA CT BL AL PLAS TRANS X 10, PFZ
