528528302134118, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR PLAS AMB X 100 ML + CP MED, PZ8
528528303130116, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR PLAS AMB X 120 ML + CP MED, PZ8
528528301138111, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP), PZ8
528528304137114, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CX 50 FR PLAS AMB X 80 ML + 50 CP MED (EMB HOSP), PZ8
528527201164110, BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCÔNIO, BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO, NOT FOUND, 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC, PZ8
528527202160119, BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCÔNIO, BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO, NOT FOUND, 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CX 50 BG AL X 40 G + 500 APLIC (EMB HOSP) , PZ8
528529002118115, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL/AL X 20, PZ8
528529003114113, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL/AL X 30, PZ8
528529001111117, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL/AL X 400 (EMB HOSP), PZ8
528529004110111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL/AL X 800 (EMB HOSP), PZ8
528529005117111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL/AL X 20, PZ8
528529006113118, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL/AL X 30, PZ8
528529007111119, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL/AL X 400 (EMB HOSP), PZ8
528529008116114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL/AL X 800 (EMB HOSP), PZ8
528500506134116, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED, PZ8
528500507130114, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.1 MG/ML ELX CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP), PZ8
528500508137112, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.1 MG/ML ELX CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), PZ8
528500501132115, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.1MG/ML ELX CT FR VD AMB X 120ML, PZ8
528500504131111, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5MG/ML SOL OR CT FR PLAS OPC GOT X 15ML, PZ8
528500701174113, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL INAL CX 200 FR PLAS OPC GOT X 20ML (EMB HOSP), PZ8
528500702170111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25MG/ML SOL INAL CT FR PLAS OPC GOT X 20ML, PZ8
528500801136116, BROMETO DE N-BUTILESCOPOLAMINA, BROMETO N BUTILESCOPOLAMINA, NOT FOUND, 10MG/ML SOL OR CT FR PLAS X 20ML, PZ8
528500802132114, BROMETO DE N-BUTILESCOPOLAMINA, BROMETO N BUTILESCOPOLAMINA, NOT FOUND, 10MG/ML SOL OR CX 200 FR PLAS X 10ML, PZ8
528500803139112, BROMETO DE N-BUTILESCOPOLAMINA, BROMETO N BUTILESCOPOLAMINA, NOT FOUND, 10MG/ML SOL OR CX 200 FR PLAS X 20ML, PZ8
528500901130111, BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SÓDICA, BROMETO N BUTILESCOPOLAMINA DIPIRONA SODICA, NOT FOUND, 6.67MG/ML + 333.4MG/ML SOL ORAL CT FR PLAS OPC X 20 ML, PZ8
528500902137118, BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SÓDICA, BROMETO N BUTILESCOPOLAMINA DIPIRONA SODICA, NOT FOUND, 6.67MG/ML+333.4MG/ML SOL ORAL CX 200 FR PLAS OPC X 10ML, PZ8
528500903133116, BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SÓDICA, BROMETO N BUTILESCOPOLAMINA DIPIRONA SODICA, NOT FOUND, 6.67MG/ML+333.4MG/ML SOL ORAL CX 200 FR PLAS OPC X 20ML, PZ8
528524201139111, BROMIDRATO DE FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, PZ8
528524203131118, BROMIDRATO DE FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 5 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), PZ8
528522303112119, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 10 MG COM CT BL AL PLAS INC X 20 , PZ8
528522304119117, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 10 MG COM CT BL AL PLAS INC X 200 (EMB HOSP) , PZ8
528522305115115, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 10 MG COM CT BL AL PLAS INC X 800 (EMB HOSP) , PZ8
528522302132116, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, PZ8
528528302134118, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR PLAS AMB X 100 ML + CP MED, PZ8
528528303130116, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR PLAS AMB X 120 ML + CP MED, PZ8
528528301138111, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP), PZ8
528528304137114, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CX 50 FR PLAS AMB X 80 ML + 50 CP MED (EMB HOSP), PZ8
528527201164110, BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCÔNIO, BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO, NOT FOUND, 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC, PZ8
528527202160119, BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCÔNIO, BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO, NOT FOUND, 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CX 50 BG AL X 40 G + 500 APLIC (EMB HOSP) , PZ8
528529002118115, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL/AL X 20, PZ8
528529003114113, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL/AL X 30, PZ8
528529001111117, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL/AL X 400 (EMB HOSP), PZ8
528529004110111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL/AL X 800 (EMB HOSP), PZ8
528529005117111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL/AL X 20, PZ8
528529006113118, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL/AL X 30, PZ8
528529007111119, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL/AL X 400 (EMB HOSP), PZ8
528529008116114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL/AL X 800 (EMB HOSP), PZ8
528500506134116, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED, PZ8
528500507130114, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.1 MG/ML ELX CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP), PZ8
528500508137112, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.1 MG/ML ELX CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), PZ8
528500501132115, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.1MG/ML ELX CT FR VD AMB X 120ML, PZ8
528500504131111, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5MG/ML SOL OR CT FR PLAS OPC GOT X 15ML, PZ8
528500701174113, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL INAL CX 200 FR PLAS OPC GOT X 20ML (EMB HOSP), PZ8
528500702170111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25MG/ML SOL INAL CT FR PLAS OPC GOT X 20ML, PZ8
528500801136116, BROMETO DE N-BUTILESCOPOLAMINA, BROMETO N BUTILESCOPOLAMINA, NOT FOUND, 10MG/ML SOL OR CT FR PLAS X 20ML, PZ8
528500802132114, BROMETO DE N-BUTILESCOPOLAMINA, BROMETO N BUTILESCOPOLAMINA, NOT FOUND, 10MG/ML SOL OR CX 200 FR PLAS X 10ML, PZ8
528500803139112, BROMETO DE N-BUTILESCOPOLAMINA, BROMETO N BUTILESCOPOLAMINA, NOT FOUND, 10MG/ML SOL OR CX 200 FR PLAS X 20ML, PZ8
528500901130111, BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SÓDICA, BROMETO N BUTILESCOPOLAMINA DIPIRONA SODICA, NOT FOUND, 6.67MG/ML + 333.4MG/ML SOL ORAL CT FR PLAS OPC X 20 ML, PZ8
