528513100124103; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP) ; PZ8
528502703131418; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 150 ML; PZ8
528502704138416; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG/ML PO SUS OR CX 50 FR VD AMB X 150 ML (EMB HOSP); PZ8
528502701112416; DUZIMICIN; DUZIMICIN; NOT FOUND; 500 MG CAP GEL DURA CX BL AL/PLAS TRANS X 300 (EMB HOSP); PZ8
528502702119414; DUZIMICIN; DUZIMICIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL/PLAS TRANS X 12; PZ8
528526801133110; DIPIRONA SÓDICA + CLORIDRATO DE ISOMETEPTENO + CAFEÍNA.; DIPIRONA SODICA CLORIDRATO ISOMETEPTENO CAFEINA; NOT FOUND; 300 MG /ML+ 50 MG/ML + 30 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; PZ8
528531401131117; DIPIRONA SÓDICA + CLORIDRATO DE ADIFENINA + CLORIDRATO DE PROMETAZINA; DIPIRONA SODICA CLORIDRATO ADIFENINA CLORIDRATO PROMETAZINA; NOT FOUND; 5OO MG/1.5ML + 10MG/1.5ML +5MG/1.5ML SOL OR CX 100 FR PLAS OPC GOT 10ML (EMB HOSP); PZ8
528531402136112; DIPIRONA SÓDICA + CLORIDRATO DE ADIFENINA + CLORIDRATO DE PROMETAZINA; DIPIRONA SODICA CLORIDRATO ADIFENINA CLORIDRATO PROMETAZINA; NOT FOUND; 5OO MG/1.5ML + 10MG/1.5ML +5MG/1.5ML SOL OR CT FR PLAS OPC GOT 10ML; PZ8
528531403132110; DIPIRONA SÓDICA + CLORIDRATO DE ADIFENINA + CLORIDRATO DE PROMETAZINA; DIPIRONA SODICA CLORIDRATO ADIFENINA CLORIDRATO PROMETAZINA; NOT FOUND; 5OO MG/1.5ML + 10MG/1.5ML +5MG/1.5ML SOL OR CT FR PLAS OPC GOT 15ML; PZ8
528531405135117; DIPIRONA SÓDICA + CLORIDRATO DE ADIFENINA + CLORIDRATO DE PROMETAZINA; DIPIRONA SODICA CLORIDRATO ADIFENINA CLORIDRATO PROMETAZINA; NOT FOUND; 5OO MG/1.5ML + 10MG/1.5ML +5MG/1.5ML SOL OR CX 100 FR PLAS OPC GOT 15ML (EMB HOSP); PZ8
528531404139119; DIPIRONA SÓDICA + CLORIDRATO DE ADIFENINA + CLORIDRATO DE PROMETAZINA; DIPIRONA SODICA CLORIDRATO ADIFENINA CLORIDRATO PROMETAZINA; NOT FOUND; 5OO MG/1.5ML + 10MG/1.5ML +5MG/1.5ML SOL OR CT FR PLAS OPC GOT 20ML; PZ8
528531302131119; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR PLAS AMB X 100 ML +SER DOSAD; PZ8
