528527711111116, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP), PZ8
528527702112113, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT BL AL PLAS INC X 2 , PZ8
528527712118114, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP) , PZ8
528527703119111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT BL AL PLAS INC X 4 , PZ8
528527704115111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT BL AL PLAS INC X 40 (EMB HOSP) , PZ8
528527705111118, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT BL AL PLAS INC X 80 (EMB HOSP) , PZ8
528527706118116, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 160 (EMB HOSP), PZ8
528527701116115, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP) , PZ8
528527707114114, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 4 , PZ8
528527708110112, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 400 (EMB HOSP) , PZ8
528527709117110, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 8 , PZ8
528527710115118, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 80 (EMB HOSP) , PZ8
528504701111416, SIOCONAZOL, SIOCONAZOL, NOT FOUND, 200 MG COM CX 30 BL AL PLAS INC X 10 (EMBL HOSP), PZ8
528504808161119, SULFADIAZINA DE PRATA, SULFADIAZINA PRATA, SULFADIAZINA PRATA, 10 MG/ G CREM VAG CT BG AL X 30 G + 6 APLIC, PZ8
528504801165119, SULFADIAZINA DE PRATA, SULFADIAZINA PRATA, SULFADIAZINA PRATA, 10 MG/G CREM 50 BG AL X 50 G (EMB HOSP), PZ8
528504803168115, SULFADIAZINA DE PRATA, SULFADIAZINA PRATA, SULFADIAZINA PRATA, 10 MG/G CREM BG AL X 50 G, PZ8
528504805160111, SULFADIAZINA DE PRATA, SULFADIAZINA PRATA, SULFADIAZINA PRATA, 10 MG/G CREM CT BG AL X 30 G, PZ8
528504806167111, SULFADIAZINA DE PRATA, SULFADIAZINA PRATA, SULFADIAZINA PRATA, 10 MG/G CREM CX PT X 400 G (EMB HOSP), PZ8
528504811160111, SULFADIAZINA DE PRATA, SULFADIAZINA PRATA, SULFADIAZINA PRATA, 10 MG/G CREM DERM CT BG AL X 120 G, PZ8
