529912080040306; PANTOPRAZOL SÓDICO; PANTOPRAZOL SODICO; NOT FOUND; 40 MG COM REV CT STP AL X 14; RBY
529912080040406; PANTOPRAZOL SÓDICO; PANTOPRAZOL SODICO; NOT FOUND; 40 MG COM REV CT STP AL X 28; RBY
529912080040206; PANTOPRAZOL SÓDICO; PANTOPRAZOL SODICO; NOT FOUND; 40 MG COM REV CT STP AL X 7; RBY
529915602113115; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; 4 MG COM CT BL AL/AL X 100 (EMB HOSP); RBY
529915601117117; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; 4 MG COM CT BL AL/AL X 14; RBY
529915603111116; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; 4 MG COM CT BL AL/AL X 15; RBY
529915604116111; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; 4 MG COM CT BL AL/AL X 30; RBY
529915605112111; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; 4 MG COM CT BL AL/AL X 300 (EMB HOSP); RBY
529915606119118; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; 4 MG COM CT BL AL/AL X 60; RBY
529905503163125; PIROXICAM; PIROXICAM; PIROXICAM; 5 MG/G GEL CT BG AL REV X 30 G; RBY
529905702115112; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 10 MG COM CT BL AL/AL X 30; RBY
529905703111110; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 20 MG COM CT BL AL/AL X 30; RBY
529905704118119; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 20 MG COM CT BL AL/AL X 80 (EMB HOSP); RBY
