530202601130414, KEFALEXIN, KEFALEXIN, NOT FOUND, 250 MG - CX. FR. 60 ML - SUSP, ROY
530202602110417, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 400 CAPS, ROY
530202603117415, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 8 CAPS, ROY
530202601130414, KEFALEXIN, KEFALEXIN, NOT FOUND, 250 MG - CX. FR. 60 ML - SUSP, ROY
530202602110417, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 400 CAPS, ROY
530202603117415, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 8 CAPS, ROY
530202601130414, KEFALEXIN, KEFALEXIN, NOT FOUND, 250 MG - CX. FR. 60 ML - SUSP, ROY
530202602110417, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 400 CAPS, ROY
530202603117415, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 8 CAPS, ROY
530202601130414, KEFALEXIN, KEFALEXIN, NOT FOUND, 250 MG - CX. FR. 60 ML - SUSP, ROY
530202602110417, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 400 CAPS, ROY
530202603117415, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 8 CAPS, ROY
530202601130414, KEFALEXIN, KEFALEXIN, NOT FOUND, 250 MG - CX. FR. 60 ML - SUSP, ROY
530202602110417, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 400 CAPS, ROY
530202603117415, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 8 CAPS, ROY
530202601130414, KEFALEXIN, KEFALEXIN, NOT FOUND, 250 MG - CX. FR. 60 ML - SUSP, ROY
530202602110417, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 400 CAPS, ROY
530202603117415, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 8 CAPS, ROY
530202601130414, KEFALEXIN, KEFALEXIN, NOT FOUND, 250 MG - CX. FR. 60 ML - SUSP, ROY
530202602110417, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 400 CAPS, ROY
530202603117415, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 8 CAPS, ROY
530202601130414, KEFALEXIN, KEFALEXIN, NOT FOUND, 250 MG - CX. FR. 60 ML - SUSP, ROY
530202602110417, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 400 CAPS, ROY
530202603117415, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 8 CAPS, ROY
530202601130414, KEFALEXIN, KEFALEXIN, NOT FOUND, 250 MG - CX. FR. 60 ML - SUSP, ROY
530202602110417, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 400 CAPS, ROY
530202603117415, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 8 CAPS, ROY
530202601130414, KEFALEXIN, KEFALEXIN, NOT FOUND, 250 MG - CX. FR. 60 ML - SUSP, ROY
530202602110417, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 400 CAPS, ROY
530202603117415, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, ROY
530202601130414, KEFALEXIN, KEFALEXIN, NOT FOUND, 250 MG - CX. FR. 60 ML - SUSP, ROY
530202602110417, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG - CX. C/ 400 CAPS, ROY
530202603117415, KEFALEXIN, KEFALEXIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, ROY
