511505201132411, KEFLAXINA, KEFLAXINA, NOT FOUND, 25 MG/ML PO SUS OR CT FR VD AMB X 100 ML, SDZ
511505202112412, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS AMB X 8, SDZ
511505201132411, KEFLAXINA, KEFLAXINA, NOT FOUND, 25 MG/ML PO SUS OR CT FR VD AMB X 100 ML, SDZ
511505202112412, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS AMB X 8, SDZ
511505201132411, KEFLAXINA, KEFLAXINA, NOT FOUND, 25 MG/ML PO SUS OR CT FR VD AMB X 100 ML, SDZ
511505202112412, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS AMB X 8, SDZ
511505201132411, KEFLAXINA, KEFLAXINA, NOT FOUND, 25 MG/ML PO SUS OR CT FR VD AMB X 100 ML, SDZ
511505202112412, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS AMB X 8, SDZ
511505203119410, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8   , SDZ
511505201132411, KEFLAXINA, KEFLAXINA, NOT FOUND, 25 MG/ML PO SUS OR CT FR VD AMB X 100 ML, SDZ
511505202112412, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS AMB X 8, SDZ
511505203119410, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8   , SDZ
511505201132411, KEFLAXINA, KEFLAXINA, NOT FOUND, 25 MG/ML PO SUS OR CT FR VD AMB X 100 ML, SDZ
511505202112412, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS AMB X 8, SDZ
511505203119410, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8   , SDZ
511505201132411, KEFLAXINA, KEFLAXINA, NOT FOUND, 25 MG/ML PO SUS OR CT FR VD AMB X 100 ML, SDZ
511505202112412, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS AMB X 8, SDZ
511505203119410, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8   , SDZ
511505201132411, KEFLAXINA, KEFLAXINA, NOT FOUND, 25 MG/ML PO SUS OR CT FR VD AMB X 100 ML, SDZ
511505202112412, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS AMB X 8, SDZ
511505203119410, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8   , SDZ
511505201132411, KEFLAXINA, KEFLAXINA, NOT FOUND, 25 MG/ML PO SUS OR CT FR VD AMB X 100 ML, SDZ
511505203119410, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8   , SDZ
511505201132411, KEFLAXINA, KEFLAXINA, NOT FOUND, 25 MG/ML PO SUS OR CT FR VD AMB X 100 ML, SDZ
511505203119410, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, SDZ
511505201132411, KEFLAXINA, KEFLAXINA, NOT FOUND, 25 MG/ML PO SUS OR CT FR VD AMB X 100 ML, SDZ
511505203119410, KEFLAXINA, KEFLAXINA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, SDZ
