512800701130411, CALCIFERRIN, CALCIFERRIN, NOT FOUND, SUSPENSAO ORAL FR VD 200ML (8.4G+0.015G+1.5G), SEZ
512800801178414, CALICIDA, CALICIDA, NOT FOUND, SOL TOPICA FR PLASTICO 15ML (3G+2.25ML), SEZ
512801001132418, CLORETO DE POTASSIO XPE - REPOTASS, CLORETO POTASSIO XPE REPOTASS, NOT FOUND, SOL ORAL FR VD 150ML (9.0G), SEZ
512800701130411, CALCIFERRIN, CALCIFERRIN, NOT FOUND, SUSPENSAO ORAL FR VD 200ML (8.4G+0.015G+1.5G), SEZ
512801001132418, CLORETO DE POTASSIO XPE - REPOTASS, CLORETO POTASSIO XPE REPOTASS, NOT FOUND, SOL ORAL FR VD 150ML (9.0G), SEZ
512800701130411, CALCIFERRIN, CALCIFERRIN, NOT FOUND, SUSPENSAO ORAL FR VD 200ML (8.4G+0.015G+1.5G), SEZ
512801001132418, CLORETO DE POTASSIO XPE - REPOTASS, CLORETO POTASSIO XPE REPOTASS, NOT FOUND, SOL ORAL FR VD 150ML (9.0G), SEZ
512800701130411, CALCIFERRIN, CALCIFERRIN, NOT FOUND, SUSPENSAO ORAL FR VD 200ML (8.4G+0.015G+1.5G), SEZ
512801001132418, CLORETO DE POTASSIO XPE - REPOTASS, CLORETO POTASSIO XPE REPOTASS, NOT FOUND, SOL ORAL FR VD 150ML (9.0G), SEZ
512800701130411, CALCIFERRIN, CALCIFERRIN, NOT FOUND, SUSPENSAO ORAL FR VD 200ML (8.4G+0.015G+1.5G), SEZ
512801001132418, CLORETO DE POTASSIO XPE - REPOTASS, CLORETO POTASSIO XPE REPOTASS, NOT FOUND, SOL ORAL FR VD 150ML (9.0G), SEZ
512800701130411, CALCIFERRIN, CALCIFERRIN, NOT FOUND, SUSPENSAO ORAL FR VD 200ML (8.4G+0.015G+1.5G), SEZ
512801001132418, CLORETO DE POTASSIO XPE - REPOTASS, CLORETO POTASSIO XPE REPOTASS, NOT FOUND, SOL ORAL FR VD 150ML (9.0G), SEZ
512800701130411, CALCIFERRIN, CALCIFERRIN, NOT FOUND, SUSPENSAO ORAL FR VD 200ML (8.4G+0.015G+1.5G), SEZ
512801001132418, CLORETO DE POTASSIO XPE - REPOTASS, CLORETO POTASSIO XPE REPOTASS, NOT FOUND, SOL ORAL FR VD 150ML (9.0G), SEZ
512800701130411, CALCIFERRIN, CALCIFERRIN, NOT FOUND, SUSPENSAO ORAL FR VD 200ML (8.4G+0.015G+1.5G), SEZ
512801001132418, CLORETO DE POTASSIO XPE - REPOTASS, CLORETO POTASSIO XPE REPOTASS, NOT FOUND, SOL ORAL FR VD 150ML (9.0G), SEZ
512800701130411, CALCIFERRIN, CALCIFERRIN, NOT FOUND, SUSPENSAO ORAL FR VD 200ML (8.4G+0.015G+1.5G), SEZ
512801001132418, CLORETO DE POTASSIO XPE - REPOTASS, CLORETO POTASSIO XPE REPOTASS, NOT FOUND, SOL ORAL FR VD 150ML (9.0G), SEZ
512800701130411, CALCIFERRIN, CALCIFERRIN, NOT FOUND, SUS OR CT FR VD AMB X 200 ML, SEZ
512801001132418, CLORETO DE POTASSIO XPE - REPOTASS, CLORETO POTASSIO XPE REPOTASS, NOT FOUND, 60 MG/ML XPE CT FR VD AMB X 150 ML, SEZ
512800701130411, CALCIFERRIN, CALCIFERRIN, NOT FOUND, SUS OR CT FR VD AMB X 200 ML, SEZ
512801001132418, CLORETO DE POTASSIO XPE - REPOTASS, CLORETO POTASSIO XPE REPOTASS, NOT FOUND, 60 MG/ML XPE CT FR VD AMB X 150 ML, SEZ
