531314020007003, ACERTIL, ACERTIL, NOT FOUND, 10 MG CX CT TB PLAS X 15, SVR
531314020007103, ACERTIL, ACERTIL, NOT FOUND, 10 MG CX CT TB PLAS X 30, SVR
531314020007203, ACERTIL, ACERTIL, NOT FOUND, 10 MG CX CT TB PLAS X 60, SVR
531314020006403, ACERTIL, ACERTIL, NOT FOUND, 2.5 MG CX CT TB PLAS X 15, SVR
531314020006503, ACERTIL, ACERTIL, NOT FOUND, 2.5 MG CX CT TB PLAS X 30, SVR
531314020006603, ACERTIL, ACERTIL, NOT FOUND, 2.5 MG CX CT TB PLAS X 60, SVR
531314020006703, ACERTIL, ACERTIL, NOT FOUND, 5 MG CX CT TB PLAS X 15, SVR
531314020006803, ACERTIL, ACERTIL, NOT FOUND, 5 MG CX CT TB PLAS X 30, SVR
531314020006903, ACERTIL, ACERTIL, NOT FOUND, 5 MG CX CT TB PLAS X 60, SVR
531300201119311, ARCALION, ARCALION, NOT FOUND, 200 MG DRG CT BL AL PLAS INC X 20  , SVR
531300202115311, ARCALION, ARCALION, NOT FOUND, 200 MG DRG CT BL AL PLAS INC X 60, SVR
