502811901171315; SUPREFACT DEPOT; SUPREFACT DEPOT; NOT FOUND; 3.3 MG/MICROBAST IMPL CT SER APLIC X 2 MICROBAST; S_A
502819601118317; SOCIAN; SOCIAN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; S_A
502819602114315; SOCIAN; SOCIAN; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; S_A
502820201111319; SULPAN; SULPAN; NOT FOUND; 1 MG + 25 MG CAP GEL DURA CT BL AL PLAS INC X 20; S_A
502820301157310; SUPERAN; SUPERAN; NOT FOUND; 25 MG/ML SOL INJ CT 6 AMP VD AMB X 2 ML; S_A
502819902118316; STILNOX; STILNOX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 10; S_A
502819901111318; STILNOX; STILNOX; NOT FOUND; 10 MG COM REV CT  BL AL PLAS INC X 20; S_A
502821002110310; STILNOX CR; STILNOX CR; NOT FOUND; 12.5 MG COM MULT LIB PROL CT BL AL PLAS INC X 10; S_A
502821003117319; STILNOX CR; STILNOX CR; NOT FOUND; 12.5 MG COM MULT LIB PROL CT BL AL PLAS INC X 20; S_A
502821001114312; STILNOX CR; STILNOX CR; NOT FOUND; 6.25 MG COM MULT LIB PROL CT BL AL PLAS INC X 10; S_A
502821004113317; STILNOX CR; STILNOX CR; NOT FOUND; 6.25 MG COM MULT LIB PROL CT BL AL PLAS INC X 20; S_A
502811601119318; SECNIDAL; SECNIDAL; NOT FOUND; 1000 MG COM REV CT BL AL PLAS INC X 2; S_A
502818201116114; SECNIDAZOL; SECNIDAZOL; SECNIDAZOL; 1000 MG COM REV CT BL AL PLAS INC X 2 ; S_A
502811602115316; SECNIDAL; SECNIDAL; NOT FOUND; 1000 MG COM REV CT BL AL PLAS INC X 4; S_A
502818202112112; SECNIDAZOL; SECNIDAZOL; SECNIDAZOL; 1000 MG COM REV CT BL AL PLAC INC X 4; S_A
502811604134318; SECNIDAL; SECNIDAL; NOT FOUND; 30 MG/ML PO P/PREP EXTEMP CT FR VD AMB X 30 ML + COPO DOSADOR; S_A
502816001111112; SULFATO DE HIDROXICLOROQUINA; SULFATO HIDROXICLOROQUINA; SULFATO HIDROXICLOROQUINA; 400 MG COM REV CT BL AL PLAS INC X 30; S_A
502812100064203; SABRIL; SABRIL; NOT FOUND; 500 MG COM REV CT BL AL PLAS AZUL X 60; S_A
