520723901135111, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ ML XPE CT FR VD AMB X 120 ML, TTB
520723902131118, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ ML XPE CT FR VD AMB X 120 ML, TTB
520728501161114, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CT BG AL X 10 G, TTB
520728502166111, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP), TTB
520728503162118, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP), TTB
520729802163114, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/G CREM DERM CT BG AL X 15 G , TTB
520729803161115, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/G CREM DERM CT BG AL X 30 G , TTB
520729801167116, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/G CREM DERM CX 50 CT BG AL X 30 G (EMB HOSP), TTB
520700102155110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 250 MG PO LIOF P/ SOL INJ IV CT 5 FA VD INC X 20 ML (EMB HOSP), TTB
520700101167115, ACICLOVIR, ACICLOVIR, ACICLOVIR, CREME 50MG/G BISN X 10G, TTB
520700201110417, AERODINI, AERODINI, NOT FOUND, COMP 2 MG CX C/ 20, TTB
520700202133410, AERODINI, AERODINI, NOT FOUND, SOL ORAL 0.4 MG/ML FR C/ 120 ML, TTB
520700203131411, AERODINI, AERODINI, NOT FOUND, SPRAY 100 MCG/ DOSE AER X 200, TTB
520700301158411, AETHOXYSKLEROL, AETHOXYSKLEROL, NOT FOUND, SOL INJ 0.5% CX C/05 AMP X 2ML, TTB
520700302154411, AETHOXYSKLEROL, AETHOXYSKLEROL, NOT FOUND, SOL INJ 1% C/01 FR/AMP, TTB
520700303150418, AETHOXYSKLEROL, AETHOXYSKLEROL, NOT FOUND, SOL INJ 1% CX C/05AMPX 2ML, TTB
