533001001157414; BETA LONG; BETA LONG; NOT FOUND; 3MG + 3MG/ML  SUS INJ CT  AMP  VD AMB  X 1 ML; U_Q
533001002153412; BETA LONG; BETA LONG; NOT FOUND; 3 MG + 3 MG/ML SUS INJ CT 25  AMP VD AMB X 1ML; U_Q
533000901111412; BACLON; BACLON; NOT FOUND; 10 MG COM CT BL AL PLAS X 20; U_Q
533019502115415; BISALAX; BISALAX; NOT FOUND; 5 MG DRG CT BL AL PLAS INC X 150; U_Q
533019501119417; BISALAX; BISALAX; NOT FOUND; 5 MG DRG CT BL AL PLAS INC X 20; U_Q
533001201113119; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS TRANS X 20; U_Q
533001203116115; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS TRANS X 30; U_Q
533001204112113; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS TRANS X 20; U_Q
533001206115111; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS TRANS X 30; U_Q
533001301177119; BROMETRO IPRATRÓPIO 0,25 MG; BROMETRO IPRATROPIO 0 25; NOT FOUND; 0.25 MG/ML SOL INAL CT FR VD AMB X 20 ML; U_Q
533022401138118; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; U_Q
533022402150111; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 5 MG/ML SOL INJ CT AMP VD AMB X 2 ML ; U_Q
533022403157111; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 5 MG/ML SOL INJ CT 6 AMP VD AMB X 2 ML ; U_Q
533022404153118; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 5 MG/ML SOL INJ CT 50 AMP VD AMB X 2ML (EMB HOSP); U_Q
533021201151112; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 20 MG/ML SOL INJ CT 3 AMP VD AMB X 1 ML; U_Q
533021202158110; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 20 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP); U_Q
533021203154119; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 20 MG/ML SOL INJ CT 6 AMP VD AMB X 1 ML; U_Q
533012120057304; BIOFLEX; BIOFLEX; NOT FOUND; 300 MG + 50 MG + 35 MG SOL OR CT FR PLAS OPC X 10 ML ; U_Q
533012120057104; BIOFLEX; BIOFLEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT STRIP X 148 ; U_Q
