504414010048918; MINOTON; MINOTON; NOT FOUND; 24 MG/ML SOL INJ CX 100 AMP VD TRANS X 10 ML; BU_
504414010048218; METAXON; METAXON; NOT FOUND; 4 MG/ML SOL INJ CX 50 FA VD INC X 2.5 ML ; BU_
504413401159113; MESNA; MESNA; MESNA; 100 MG/ML SOL INJ IV CT 10 AMP VD INC X 4 ML (EMB HOSP); BU_
504413402155111; MESNA; MESNA; MESNA; 100 MG/ML SOL INJ IV CT 50 AMP VD INC X 4 ML (EMB HOSP); BU_
504413403151111; MESNA; MESNA; MESNA; 100 MG/ML SOL INJ IV CT 5 AMP VD INC X 4 ML (EMB HOSP); BU_
504403002111411; METREXATO; METREXATO; NOT FOUND; 2.5 MG COM CT BL AL PLAS AMB X 12; BU_
504403005110416; METREXATO; METREXATO; NOT FOUND; 2.5 MG COM CT BL AL PLAS AMB X 24; BU_
504403003118411; METREXATO; METREXATO; NOT FOUND; 2.5 MG COM CT BL AL PLAS AMB X 240; BU_
504403001115413; METREXATO; METREXATO; NOT FOUND; 2.5 MG COM CT BL AL PLAS AMB X 25 ; BU_
504403004114418; METREXATO; METREXATO; NOT FOUND; 2.5 MG COM CT BL AL PLAS AMB X 9; BU_
504414010048418; MAGNOSTON; MAGNOSTON; NOT FOUND; 100 MG/ML SOL INJ IV CX 100 AMP VD INC X 10 ML (EMB HOSP); BU_
504414010048518; MAGNOSTON; MAGNOSTON; NOT FOUND; 500 MG/ML SOL INJ IV CX 100 AMP VD INC X 10 ML (EMB HOSP); BU_
