538912060016813; MYCOSPOR; MYCOSPOR; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 15 G; BYP
515601402170411; MYCOSPOR; MYCOSPOR; NOT FOUND; 10 MG/ML SOL TOP CT FR VD AMB SPRAY X 15 ML; BYP
538901101159316; MESIGYNA; MESIGYNA; NOT FOUND; 50 MG/ML + 5 MG/ML SOL INJ CT SER VD INC X 1 ML + AGU; BYP
538912050012014; MIRELLE; MIRELLE; NOT FOUND; 0.06 MG + 0.015 MG COM REV CT ENV BL CALEND X 24; BYP
538912040011614; MICROVLAR; MICROVLAR; NOT FOUND; 0.15 MG + 0.03 MG DRG CT BL CALEND AL PLAS INC X 21; BYP
538912050012414; MIRANOVA; MIRANOVA; NOT FOUND; 0.10 MG + 0.02 MG DRG CT BL CALEND AL PLAS INC X 21; BYP
538912070018103; MIRANOVA; MIRANOVA; NOT FOUND; 0.10 MG + 0.02 MG DRG CT BL CALEND AL PLAS INC X 63; BYP
538912050015113; MAGNEVISTAN; MAGNEVISTAN; NOT FOUND; 469 MG / ML SOL INJ CT 10 FA VD INC X 10 ML ; BYP
538912050015413; MAGNEVISTAN; MAGNEVISTAN; NOT FOUND; 469 MG / ML SOL INJ CX 10 FA VD INC X 100 ML ; BYP
538912050015213; MAGNEVISTAN; MAGNEVISTAN; NOT FOUND; 469 MG / ML SOL INJ CT 10 FA VD INC X 15 ML ; BYP
538912050015313; MAGNEVISTAN; MAGNEVISTAN; NOT FOUND; 469 MG / ML SOL INJ CT 10 FA VD INC X 30 ML ; BYP
