507709401166419; DEXADERMIL; DEXADERMIL; NOT FOUND; 1MG/G CREM DERM CT BG AL X 10 G; EMS
531614060074404; DIGESIGMA; DIGESIGMA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20 ; EMS
531614060074504; DIGESIGMA; DIGESIGMA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 60 (EMB FRAC); EMS
507711102138415; DORSPAN; DORSPAN; NOT FOUND; COMPOSTO GOTAS FR C/20ML; EMS
507711101115411; DORSPAN; DORSPAN; NOT FOUND; 0.010 G + 0.250 G DRG CT ENV AL X 20; EMS
507712020117903; DORICIN; DORICIN; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 240; EMS
507710803132415; DORICIN; DORICIN; NOT FOUND; GOTAS FR C/10ML; EMS
507710802111414; DORICIN; DORICIN; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT 30 ENV AL X 4; EMS
507710804139413; DORICIN; DORICIN; NOT FOUND; (35 + 300 + 50) MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; EMS
507739201130110; DIPIRONA SÓDICA + CLORIDRATO DE ISOMETEPTENO + CAFEÍNA; DIPIRONA SODICA CLORIDRATO ISOMETEPTENO CAFEINA; NOT FOUND; 300 MG/ML + 50 MG/ML + 30 MG/ML SOL OR CT FR PLAS OPC X 15 ML + CGT; EMS
507731002163412; DERMOCORTE; DERMOCORTE; NOT FOUND; (20 + 0.644) MG/G POM DERM CT BG AL X 30 G; EMS
507731001167414; DERMOCORTE; DERMOCORTE; NOT FOUND; (20 + 0.644) MG/G CREM DERM CT BG AL X 30 G; EMS
531624901159411; DEPOSTERON; DEPOSTERON; NOT FOUND; 100 MG/ML SOL INJ CX 3 AMP VD AMB X 2 ML; EMS
507709901118413; DIBENDRIL; DIBENDRIL; NOT FOUND; PAST STPFRAMBOESA 3 X 4; EMS
507709902114411; DIBENDRIL; DIBENDRIL; NOT FOUND; PAST STP MENTA 3 X 4; EMS
507709903137415; DIBENDRIL; DIBENDRIL; NOT FOUND; XPE 120ML; EMS
541813110006104; DERMOCERYL; DERMOCERYL; NOT FOUND; 50 MG/ML ESM CT FR VD AMB X 2.5 ML + (10 ESP + 30 COMPRESS + 30 LIXAS); EMS
531601207116419; DILTIPRESS; DILTIPRESS; NOT FOUND; 30 MG COM CT BL AL PLAS LEIT X 50; EMS
531601208112417; DILTIPRESS; DILTIPRESS; NOT FOUND; 60 MG COM CT BL AL PLAS LEIT X 50; EMS
507711201111418; DOXILEGRAND; DOXILEGRAND; NOT FOUND; 100 MG DRG CT  ENV AL X 15; EMS
531601103116412; DAFORIN; DAFORIN; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PVC INC X 20; EMS
531601104112410; DAFORIN; DAFORIN; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PVC INC X 20; EMS
531601106115417; DAFORIN; DAFORIN; NOT FOUND; 20 MG COM REV CT BL AL PVC INC X 20; EMS
531601105119419; DAFORIN; DAFORIN; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PVC INC X 30; EMS
531601107111415; DAFORIN; DAFORIN; NOT FOUND; 20 MG COM REV CT BL AL PVC INC X 30; EMS
531613020068803; DAFORIN; DAFORIN; NOT FOUND; 20 MG COM REV CT BL AL PLAS TRANS X 60; EMS
531601102136411; DAFORIN; DAFORIN; NOT FOUND; 20 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EMS
531624801138410; DEFLAIMMUN; DEFLAIMMUN; NOT FOUND; 22.75 MG/ML SUS OR CT FR VD AMB GOT X 13 ML; EMS
531624802118413; DEFLAIMMUN; DEFLAIMMUN; NOT FOUND; 30 MG COM CT BL AL PLAS INC X 10; EMS
507728301112119; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 30 MG COM CT BL AL PLAS LEIT X 10   ; EMS
507728304111113; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 30 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC); EMS
531624804110411; DEFLAIMMUN; DEFLAIMMUN; NOT FOUND; 7.5 MG COM CT BL AL PLAS INC X 20; EMS
531624803114411; DEFLAIMMUN; DEFLAIMMUN; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 20; EMS
