510413301132119; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10MG/ML XPE CT FR VD AMB X 120ML + CP MED; GOB
510413303135115; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
510413304131113; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
510413302139117; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5MG/ML XPE CT FR VD AMB X 120ML + CP MED; GOB
510413305138111; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
510413306134111; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
510408201168115; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG / G CREM DERM CT BG AL X 10 G; GOB
510412100078206; ACETATO DE PREDNISOLONA; ACETATO PREDNISOLONA; ACETATO PREDNISOLONA; 10MG/ML SUSP OFT CT FR PLAS OPC GOT X 10ML ; GOB
510412100078306; ACETATO DE PREDNISOLONA; ACETATO PREDNISOLONA; ACETATO PREDNISOLONA; 10MG/ML SUSP OFT CX 50 FR PLAS OPC GOT X 10ML (EMB HOSP); GOB
510412100078006; ACETATO DE PREDNISOLONA; ACETATO PREDNISOLONA; ACETATO PREDNISOLONA; 10MG/ML SUSP OFT CT FR PLAS OPC GOT X 5ML ; GOB
510412100078106; ACETATO DE PREDNISOLONA; ACETATO PREDNISOLONA; ACETATO PREDNISOLONA; 10MG/ML SUSP OFT CX 50 FR PLAS OPC GOT X 5ML (EMB HOSP); GOB
510412403136115; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
510412404132113; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
510406601177115; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G ; GOB
510405503139415; ALBEL; ALBEL; NOT FOUND; 40 MG/ML SUS CT FR PLAS AMB X 10 ML ; GOB
510405506138411; ALBEL; ALBEL; NOT FOUND; 40 MG/ML SUS CX 60 FR PLAS AMB X 10 ML (EMB HOSP); GOB
510405502116411; ALBEL; ALBEL; NOT FOUND; 400 MG COM MAST CT BL AL PLAS INC X 1; GOB
510405505115416; ALBEL; ALBEL; NOT FOUND; 400 MG COM MAST CT 500 BL AL PLAS INC X 1 (EMB. HOSP); GOB
510412070076706; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL PLAS TRANS X 15; GOB
510412070076806; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL PLAS TRANS X 30; GOB
