538500201111419; APRACUR; APRACUR; NOT FOUND; 1 MG + 100 MG + 50 MG COM REV DISP ENV AL X 150 (EMB MULT) ; HY_
538514060022518; ALIVIUM; ALIVIUM; NOT FOUND; 400 MG COM REV BL AL PLAS INC X 4; HY_
538514060022618; ALIVIUM; ALIVIUM; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 4; HY_
538514060022718; ALIVIUM; ALIVIUM; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 10; HY_
538513120021513; ALIVIUM; ALIVIUM; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; HY_
538513120021413; ALIVIUM; ALIVIUM; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; HY_
538513120021313; ALIVIUM; ALIVIUM; NOT FOUND; 30 MG/ML SUS OR CT FR PLAS AMB X 100 ML + SER DOS ; HY_
538513120021213; ALIVIUM; ALIVIUM; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; HY_
538513120021113; ALIVIUM; ALIVIUM; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; HY_
538514030021918; ALIVIUM; ALIVIUM; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC X 10; HY_
538514030021818; ALIVIUM; ALIVIUM; NOT FOUND; 600 MG COM REV BL AL PLAS INC X 4; HY_
