514505201110420; TYLENOL DC; TYLENOL DC; NOT FOUND; 500 MG - COMP - BL - 100 COMP; J_C
514505202117429; TYLENOL DC; TYLENOL DC; NOT FOUND; 500 MG - COMP - BL - 20 COMP; J_C
514505601119311; TYLENOL SINUS; TYLENOL SINUS; NOT FOUND; 500 MG + 30 MG COM REV CT BL PVC AL/PAPEL/POLIESTER X 24; J_C
514505301115319; TYLEX; TYLEX; NOT FOUND; 500 MG + 30 MG COM CT BL AL PLAS INC X 12; J_C
514505302111317; TYLEX; TYLEX; NOT FOUND; 500 MG + 7.5 MG COM CT BL AL PLAS INC X 12; J_C
514505303118315; TYLEX; TYLEX; NOT FOUND; 500 MG + 30 MG COM CT BL AL PLAS INC X 24; J_C
514513060026603; TYLEX; TYLEX; NOT FOUND; 500 MG + 30 MG COM CT  BL AL PLAS INC X 36; J_C
514505101132325; TYLENOL; TYLENOL; NOT FOUND; 100 MG - GOTAS - FR - 15 ML - BEBE; J_C
514505102139323; TYLENOL; TYLENOL; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; J_C
514505104131321; TYLENOL; TYLENOL; NOT FOUND; 32 MG/ML SUS OR CT FR PLAS OPC X 60 ML + COPO MEDIDA; J_C
514505111111312; TYLENOL; TYLENOL; NOT FOUND; 500 MG COM REV CT BL AL PVC X 100; J_C
514505112118310; TYLENOL; TYLENOL; NOT FOUND; 500 MG COM REV CT BL AL PVC X 20; J_C
514505105111322; TYLENOL; TYLENOL; NOT FOUND; 500 MG - COMP - BL - 200 COMP; J_C
514505109117317; TYLENOL; TYLENOL; NOT FOUND; 500 MG COM REV CT BL AL PVC X 200; J_C
514507703113317; TYLENOL AP; TYLENOL AP; NOT FOUND; 650 MG COM REV CT BL AL PVC INC X 100; J_C
514507701110310; TYLENOL AP; TYLENOL AP; NOT FOUND; 650 MG COM REV CT 50 BL AL PVC INC X 4; J_C
514505108110327; TYLENOL AP; TYLENOL AP; NOT FOUND; 650 MG COM REV CT FR PLAS OPC X 24; J_C
514505106118320; TYLENOL; TYLENOL; NOT FOUND; 750 MG - COMP - BL - 20 COMP; J_C
514505110115314; TYLENOL; TYLENOL; NOT FOUND; 750 MG COM REV CT BL AL PLAS AMB X 20; J_C
514505107114329; TYLENOL; TYLENOL; NOT FOUND; 750 MG COM REV CT BL AL PLAS AMB X 200; J_C
514504901119317; TOPAMAX; TOPAMAX; NOT FOUND; 100 MG COM REV CT BL AL/AL X 60; J_C
514504904118311; TOPAMAX; TOPAMAX; NOT FOUND; 15 MG CAP GEL CT FR PLAS X 60; J_C
514504905114311; TOPAMAX; TOPAMAX; NOT FOUND; 25 MG CAP GEL CT FR PLAS X 60; J_C
514504903111313; TOPAMAX; TOPAMAX; NOT FOUND; 50 MG COM REV CT BL AL/AL X 60; J_C
