537113030010304; DIGESOL; DIGESOL; NOT FOUND; 4 MG/ML SOL GOT CX 48 FR GOT PLAS OPC X 20 ML (EMB HOSP); M1L
537113030010404; DIGESOL; DIGESOL; NOT FOUND; 4 MG/ML SOL GOT CX 96 FR GOT PLAS OPC X 20 ML (EMB HOSP); M1L
537113080010504; DIGESOL; DIGESOL; NOT FOUND; 4 MG/ML SOL GOT CT FR GOT PLAS OPC X 20 ML; M1L
537114080011506; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 250; M1L
537114080011606; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 250 (EMB FRAC) ; M1L
537114080011706; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 2500; M1L
537114080011806; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 2500 (EMB FRAC) ; M1L
537100312110118; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 10 (EMB FRAC); M1L
537100310118111; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 100 (EMB FRAC); M1L
537100311114111; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 250 (EMB FRAC); M1L
537100313117116; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 500 (EMB FRAC); M1L
537100301135114; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; M1L
537100304134119; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 48 FR PLAS OPC GOT X 10 ML (EMB HOSP); M1L
537100307133113; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 96 FR PLAS OPC GOT X 10 ML (EMB HOSP); M1L
537100302131112; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; M1L
537100305130117; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 48 FR PLAS OPC GOT X 15 ML (EMB HOSP); M1L
537100308131114; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 96 FR PLAS OPC GOT X 15 ML (EMB HOSP); M1L
537100303138110; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; M1L
537100306137115; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 48 FR PLAS OPC GOT X 20 ML (EMB HOSP); M1L
537100309136111; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 96 FR PLAS OPC GOT X 20 ML (EMB HOSP); M1L
