525104308114411; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 1000 (EMB HOSP); MDQ
525104304119419; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 28; MDQ
525104306111415; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; MDQ
525104305115417; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); MDQ
525104307118413; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 60; MDQ
525104201115410; PRESSOFLUX; PRESSOFLUX; NOT FOUND; 40 MG COM CT FR VD INC X 40; MDQ
525101701117418; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; MDQ
525113020017803; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT BL AL AL X 30; MDQ
525113020018303; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT STR AL AL X 30; MDQ
525101704116412; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); MDQ
525113020017903; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT BL AL AL X 500 (EMB HOSP); MDQ
525113020018203; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT STR AL AL X 500 (EMB HOSP); MDQ
525113020018103; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT BL AL AL X 60; MDQ
525113020018403; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT STR AL AL X 60  ; MDQ
525101702113416; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 30; MDQ
525101705112410; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); MDQ
525113020018003; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 20 MG COM CT BL AL AL X 500 (EMB HOSP); MDQ
525104004115418; PANTONAX; PANTONAX; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 14; MDQ
525104003119411; PANTONAX; PANTONAX; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 30; MDQ
525104005111416; PANTONAX; PANTONAX; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 07; MDQ
525106001131117; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; MDQ
525114030019306; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS AMB X 20; MDQ
525114030019406; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT); MDQ
525114030019506; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS AMB X 500 (EMB MULT); MDQ
525114030019606; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 20; MDQ
525114030019706; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 200 (EMB MULT); MDQ
525114030019806; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 500 (EMB MULT); MDQ
