532412050004416; ACETATO DE OCTREOTIDA; ACETATO OCTREOTIDA; ACETATO OCTREOTIDA; 0.05 MG/ML SOL INJ CT AMP VD INC X 1 ML; TKS
532412050004516; ACETATO DE OCTREOTIDA; ACETATO OCTREOTIDA; ACETATO OCTREOTIDA; 0.05 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; TKS
532412050004616; ACETATO DE OCTREOTIDA; ACETATO OCTREOTIDA; ACETATO OCTREOTIDA; 0.1 MG/ML SOL INJ CT AMP VD INC X 1 ML; TKS
532412050004716; ACETATO DE OCTREOTIDA; ACETATO OCTREOTIDA; ACETATO OCTREOTIDA; 0.1 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; TKS
532400201119410; ANTIPRESSIN; ANTIPRESSIN; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 15; TKS
532400202115419; ANTIPRESSIN; ANTIPRESSIN; NOT FOUND; 50 MG COM CT 2  BL AL PLAS INC X 15; TKS
532414100010503; AROZEP; AROZEP; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 30; TKS
532414100010603; AROZEP; AROZEP; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 30; TKS
532400101114417; ANALGISEN; ANALGISEN; NOT FOUND; 750 MG COM CT 5 BL PVC X 4; TKS
532400102110415; ANALGISEN; ANALGISEN; NOT FOUND; 500 MG COM CT 50 BL PVC X 4; TKS
532412100008703; ANALGISEN; ANALGISEN; NOT FOUND; 750 MG COM CT 50 BL PVC X 4; TKS
532413030009506; ÁCIDO ZOLEDRÔNICO; ACIDO ZOLEDRONICO; NOT FOUND; 4 MG PO LIOF SOL INJ IV CT FA VD TRANS; TKS
532413030009606; ÁCIDO ZOLEDRÔNICO; ACIDO ZOLEDRONICO; NOT FOUND; 4 MG PO LIOF SOL INJ IV CT 4 FA VD TRANS; TKS
532413030009706; ÁCIDO ZOLEDRÔNICO; ACIDO ZOLEDRONICO; NOT FOUND; 4 MG PO LIOF SOL INJ IV CT 10 FA VD TRANS; TKS
532413030009806; ÁCIDO ZOLEDRÔNICO; ACIDO ZOLEDRONICO; NOT FOUND; 4 MG PO LIOF SOL INJ IV CT 20 FA VD TRANS; TKS
