506913040027103; VICODIL; VICODIL; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); ATV
506905801114410; VICODIL; VICODIL; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 12; ATV
506913040027203; VICODIL; VICODIL; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 120 (EMB HOSP); ATV
506913040027303; VICODIL; VICODIL; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); ATV
506913040026803; VICODIL; VICODIL; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 24; ATV
506913040027403; VICODIL; VICODIL; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); ATV
506913040026903; VICODIL; VICODIL; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); ATV
506913040027003; VICODIL; VICODIL; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); ATV
506912060025206; VALSARTANA; VALSARTANA; VALSARTANA; 160 MG COM REV CT BL AL AL X 30; ATV
506912060025306; VALSARTANA; VALSARTANA; VALSARTANA; 320 MG COM REV CT BL AL AL X 30; ATV
506912060025006; VALSARTANA; VALSARTANA; VALSARTANA; 40 MG COM REV CT BL AL AL X 30; ATV
506912060025106; VALSARTANA; VALSARTANA; VALSARTANA; 80 MG COM REV CT BL AL AL X 30; ATV
