512402401171316; GARASONE; GARASONE; NOT FOUND; 1 MG/ML + 3MG/ML SOL OTO/OFT CT FR PLAS TRANS GOT X 10 ML; MQF
512406501160416; GISAZOL; GISAZOL; NOT FOUND; 10MG/G CREM VAG CT BG AL X 40G + 7 APLIC VAG DESC + 7 ABSORVENTES ; MQF
512406101162411; GINO ATADERM; GINO ATADERM; NOT FOUND; 10MG/G CREM VAG CT BG AL X 30G + 6 APLIC VAG DESCARTAVEL; MQF
512402301167317; GARAMICINA; GARAMICINA; NOT FOUND; 1 MG/G CREM CT BG AL X 30 G; MQF
512402305154317; GARAMICINA; GARAMICINA; NOT FOUND; 280 MG/2 ML SOL INJ CT CAMA AMP VD INC X 2 ML + SER; MQF
512402304158319; GARAMICINA; GARAMICINA; NOT FOUND; 20 MG/ML SOL INJ CT CAMA 2 AMP VD INC X 1 ML; MQF
512402306150315; GARAMICINA; GARAMICINA; NOT FOUND; 40 MG/ML SOL INJ CT CAMA 2 AMP VD INC X 1 ML; MQF
512402307157313; GARAMICINA; GARAMICINA; NOT FOUND; 60 MG/1.5ML SOL INJ CT CAMA 2 AMP VD INC X 1.5 ML; MQF
512402308153311; GARAMICINA; GARAMICINA; NOT FOUND; 80 MG/2ML SOL INJ CT CAMA 2 AMP VD INC X 2 ML; MQF
512402302155312; GARAMICINA; GARAMICINA; NOT FOUND; 120 MG/1.5ML SOL INJ CT CAMA 2 AMP VD INC X 1.5 ML; MQF
512402303151310; GARAMICINA; GARAMICINA; NOT FOUND; 160 MG/2 ML SOL INJ CT CAMA AMP VD INC X 2 ML; MQF
