540412030003304; BRONQTRAT; BRONQTRAT; NOT FOUND; 3 MG/ML XPE CT FR PLAS AMB X 100 ML + CP MED ; NAU
540413010006103; BRONQTRAT; BRONQTRAT; NOT FOUND; 3 MG/ML XPE CT 50 FR PLAS AMB X 100 ML + CP MED; NAU
540413010006203; BRONQTRAT; BRONQTRAT; NOT FOUND; 3 MG/ML XPE CT 50 FR PLAS AMB X 120 ML + CP MED; NAU
540400701139414; BRONQTRAT; BRONQTRAT; NOT FOUND; 6 MG/ML XPE CT FR PLAS AMB X 100 ML; NAU
540413010005903; BRONQTRAT; BRONQTRAT; NOT FOUND; 6 MG/ML XPE CX 50 FR PLAS AMB X 100 ML ; NAU
540413010006003; BRONQTRAT; BRONQTRAT; NOT FOUND; 6 MG/ML XPE CX 50 FR PLAS AMB X 120 ML ; NAU
540412120005803; BÊVITER; BEVITER; NOT FOUND; 300 MG COM REV CX BL AL PLAS INC X 1000 (EMB HOSP); NAU
540402101112414; BÊVITER; BEVITER; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 30; NAU
540414050008503; BUTALAB; BUTALAB; NOT FOUND; 0.4 MG/ML XPE OR CX 50 FR PLAS AMB X 100 ML (EMB HOSP); NAU
540414050008603; BUTALAB; BUTALAB; NOT FOUND; 0.4 MG/ML XPE OR CX 50 FR PLAS AMB X 120 ML (EMB HOSP); NAU
540400901138411; BUTALAB; BUTALAB; NOT FOUND; 0.4 MG/ML XPE CT FR VD AMB X 100 ML; NAU
