529913040045104; TEZARA MR; TEZARA MR; NOT FOUND; 30MG COM LIB PROL BL AL PLAS TRANS X 15 ; RBY
529913040045204; TEZARA MR; TEZARA MR; NOT FOUND; 30MG COM LIB PROL BL AL PLAS TRANS X 30; RBY
529913040045304; TEZARA MR; TEZARA MR; NOT FOUND; 30MG COM LIB PROL BL AL PLAS TRANS X 60; RBY
529913060045804; TELBAX; TELBAX; NOT FOUND; 40 MG COM CT BL AL AL X 15 ; RBY
529913090046906; TELMISARTANA; TELMISARTANA; TELMISARTANA; 40 MG COM CT BL AL/AL X 15 ; RBY
529913060045406; TELMISARTANA; TELMISARTANA; TELMISARTANA; 40 MG COM CT BL AL/AL X 30; RBY
529913060045904; TELBAX; TELBAX; NOT FOUND; 40 MG COM CT BL AL AL X 30; RBY
529913060046004; TELBAX; TELBAX; NOT FOUND; 40 MG COM CT BL AL AL X 60; RBY
529913090047006; TELMISARTANA; TELMISARTANA; TELMISARTANA; 40 MG COM CT BL AL/AL X 60; RBY
529913060046104; TELBAX; TELBAX; NOT FOUND; 40 MG COM CT BL AL AL X 90; RBY
529913090047106; TELMISARTANA; TELMISARTANA; TELMISARTANA; 40 MG COM CT BL AL/AL X 90; RBY
529913060046204; TELBAX; TELBAX; NOT FOUND; 80 MG COM CT BL AL AL X 15 ; RBY
529913090047206; TELMISARTANA; TELMISARTANA; TELMISARTANA; 80 MG COM CT BL AL/AL X 15; RBY
529913060045506; TELMISARTANA; TELMISARTANA; TELMISARTANA; 80 MG COM CT BL AL/AL X 30; RBY
529913060046304; TELBAX; TELBAX; NOT FOUND; 80 MG COM CT BL AL AL X 30; RBY
529913060046404; TELBAX; TELBAX; NOT FOUND; 80 MG COM CT BL AL AL X 60; RBY
529913090047306; TELMISARTANA; TELMISARTANA; TELMISARTANA; 80 MG COM CT BL AL/AL X 60; RBY
529913060046504; TELBAX; TELBAX; NOT FOUND; 80 MG COM CT BL AL AL X 90; RBY
529913090047406; TELMISARTANA; TELMISARTANA; TELMISARTANA; 80 MG COM CT BL AL/AL X 90; RBY
