532712120012706; RAMIPRIL + BESILATO DE ANLODIPINO; RAMIPRIL BESILATO ANLODIPINO; NOT FOUND; 2.5 MG + 5 MG CAP GEL DURA CT BL AL/AL X 30; TNT
532712120012806; RAMIPRIL + BESILATO DE ANLODIPINO; RAMIPRIL BESILATO ANLODIPINO; NOT FOUND; 5.0 MG + 5 MG CAP GEL DURA CT BL AL/AL X 30; TNT
532700801111411; RESPIDON; RESPIDON; NOT FOUND; 1 MG COM REV CT 2 BL AL/AL X 10; TNT
532712060010403; RESPIDON; RESPIDON; NOT FOUND; 1 MG COM REV CT BL AL AL X 30; TNT
532700802118418; RESPIDON; RESPIDON; NOT FOUND; 2 MG COM REV CT 2 BL AL/AL X 10; TNT
532712060010503; RESPIDON; RESPIDON; NOT FOUND; 2 MG COM REV CT BL AL AL X 30; TNT
532700803114416; RESPIDON; RESPIDON; NOT FOUND; 3 MG COM REV CT 2 BL AL/AL X 10; TNT
532712060010603; RESPIDON; RESPIDON; NOT FOUND; 3 MG COM REV CT BL AL AL X 30; TNT
532714090017203; ROSUCOR; ROSUCOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 60; TNT
532714090017303; ROSUCOR; ROSUCOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 60; TNT
532703001116411; ROSUCOR; ROSUCOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; TNT
532712120014106; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 10 MG COMP REV CT BL AL/AL X 10; TNT
532703002112411; ROSUCOR; ROSUCOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; TNT
532712120013906; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 10 MG COMP REV CT BL AL/AL X 30; TNT
532712120014206; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 10 MG COMP REV CT BL AL/AL X 60; TNT
532703003119418; ROSUCOR; ROSUCOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; TNT
532712120014006; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 20 MG COMP REV CT BL AL/AL X 30; TNT
532712120014306; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 20 MG COMP REV CT BL AL/AL X 60; TNT
