520723602111111; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; TTB
520712100084706; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS TRANS X 60; TTB
520713040087506; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); TTB
520723603118111; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; TTB
520712100084806; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS TRANS X 60; TTB
520723601115113; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAST INC X 30; TTB
520712100084906; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS TRANS X 60; TTB
520725001115119; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 20; TTB
520725003118115; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); TTB
520725005110111; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); TTB
520725002111117; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 20 ; TTB
520725004114113; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); TTB
520725006117111; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); TTB
520704501119412; CARBIDOL; CARBIDOL; NOT FOUND; 25 MG + 250 MG COM CT BL AL PLAS INC X 30; TTB
520712110085403; CARBIDOL; CARBIDOL; NOT FOUND; 25 MG + 250 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); TTB
520704702130111; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; TTB
520704701134113; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; TTB
520730901110111; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT BL AL PVDC INC X 8; TTB
520731601110414; CEFANAXIL; CEFANAXIL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PVDC INC X 8; TTB
520705006138112; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + CP MED; TTB
520705005131114; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML PO P/ SUS OR CX 50 FR VD AMB X 60 ML + 50 CP MED (EMB HOSP); TTB
520705003112112; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM CT BL AL PLAS INC X 10; TTB
520705002116114; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM CT BL AL PLAS INC X 40; TTB
