270591; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. ASSOCIADA COM GENTAMICINA SULFATO. 0.5MG + 1MG/G. CREME; NO_ACR; BISNAGA; 10.00 G

394125; BETAEPOETINA; BETAEPOETINA; BETAEPOETINA; 150 MCG. SOLUCAO INJETAVEL. SERINGA PREENCHIDA COM 0.3ML; NO_ACR; SERINGA; 0

266707; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL NASAL. 64MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 120.00 DOSE(S)

293327; BENJOIM; BENJOIM; NOT FOUND; TINTURA A 20%; NO_ACR; FRASCO; 100.00 ML

266700; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL BUCAL. 200MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 2.00 ML

269959; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 8 MG/ML. GOTAS; NO_ACR; FRASCO; 10.00 ML

272173; BENZIDAMINA CLORIDRATO; BENZIDAMINA CLORIDRATO; NOT FOUND; 3MG; NO_ACR; PASTILHA; 0

266705; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL NASAL. 100MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 2.00 ML

267585; BECLOMETASONA DIPROPIONATO; BECLOMETASONA DIPROPIONATO; NOT FOUND; 400 MCG. CAPSULAS INALATORIAS. COM INALADOR; NO_ACR; CÃPSULA; 0

276384; BUDESONIDA; BUDESONIDA; BUDESONIDA; 3MG. LIBERACAO CONTROLADA; NO_ACR; CÃPSULA; 0

272176; BENZIDAMINA CLORIDRATO; BENZIDAMINA CLORIDRATO; NOT FOUND; 1.5MG/ML. COLUTORIO; NO_ACR; FRASCO; 150.00 ML

269956; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML. GOTAS; NO_ACR; AMPOLA; 2.00 ML

352179; BETAMETASONA; BETAMETASONA; BETAMETASONA; VALERATO. EQUIVALENTE AO SAL BASE BETAMETASONA 1 MG/G. CREME; NO_ACR; BISNAGA; 10.00 G

320824; BENAZEPRIL  CLORIDRATO; BENAZEPRIL CLORIDRATO; NOT FOUND; 5 MG; NO_ACR; COMPRIMIDO; 0

311143; BENZOATO DE BENZILA; BENZOATO BENZILA; BENZOATO BENZILA; 100 MG/G. SABONETE; NO_ACR; FRASCO; 100.00 ML

365542; BENZILPENICILINA; BENZILPENICILINA; BENZILPENICILINA; BENZATINA. 300.000 UI/ML. SUSPENSAO INJETAVEL; NO_ACR; FRASCO; 4.00 ML

268222; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; 8.4%. SOLUCAO INJETAVEL; NO_ACR; BOLSA; 250.00 ML

269959; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 8 MG/ML. GOTAS; NO_ACR; FRASCO; 20.00 ML

347980; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; 2%. SOLUCAO AQUOSA TOPICA. ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 50.00 ML

318309; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. ASSOCIADA COM ACIDO SALICILICO. 0.5MG + 30MG/G. POMADA; NO_ACR; FRASCO; 10.00 ML

272028; BAMIFILINA CLORIDRATO; BAMIFILINA CLORIDRATO; NOT FOUND; 300 MG; NO_ACR; DRÃGEA; 0

274813; BUPIVACAÃNA CLORIDRATO; BUPIVACAINA CLORIDRATO; NOT FOUND; ASSOCIADA A EPINEFRINA. 0.75% + 1/200.000UI. EMBALAGEM ESTERIL; NO_ACR; FRASCO; 20.00 ML

269958; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 5 MG/ML. INJETAVEL; NO_ACR; AMPOLA; 2.00 ML

412035; BUSSULFANO; BUSSULFANO; BUSSULFANO; 6 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 10.00 ML

272913; BENZOCAÃNA; BENZOCAINA; BENZOCAINA; 20%. GEL TOPICO; NO_ACR; TUBO; 43.00 G

272150; BENZOCAÃNA; BENZOCAINA; BENZOCAINA; ASSOCIADA COM BENZOXIQUINA.CL. BENZETONIO E MENTOL. 4.5% + 1.2% + 0.1% + 0.5%. AEROSSOL; NO_ACR; FRASCO; 100.00 ML

394760; BENZOCAÃNA; BENZOCAINA; BENZOCAINA; ASSOCIADA COM CLORETO DE DEQUALINIO. 5 MG + 0.25 MG; NO_ACR; PASTILHA; 0

270596; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. ASSOCIADA COM GENTAMICINA SULFATO. 0.5MG + 1MG/G. POMADA; NO_ACR; BISNAGA; 30.00 G

274190; BRIMONIDINA TARTARATO; BRIMONIDINA TARTARATO; NOT FOUND; 5 MG/ML. COLIRIO; NO_ACR; FRASCO; 5.00 ML

269603; BISACODIL; BISACODIL; BISACODIL; 5 MG; NO_ACR; COMPRIMIDO; 0

411744; BETAXOLOL CLORIDRATO; BETAXOLOL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SUSPENSAO OFTALMICA; NO_ACR; FRASCO; 5.00 ML

269958; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 5 MG/ML. INJETAVEL; NO_ACR; COMPRIMIDO; 0

300253; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; ASSOCIADO COM ACIDO CITRICO E SULFATO DE MAGNESIO. 456 MG + 367 MG + 176.5 MG/G. PO EFERVESCENTE; NO_ACR; SACHÃ; 5.00 G

269823; BROMEXINA CLORIDRATO; BROMEXINA CLORIDRATO; NOT FOUND; 2 MG/ML. SOLUCAO ORAL - GOTAS; NO_ACR; FRASCO; 50.00 ML

271052; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; PO; NO_ACR; FRASCO; 50.00 ML

308726; BENZOATO DE BENZILA; BENZOATO BENZILA; BENZOATO BENZILA; 25%. EMULSAO TOPICA; NO_ACR; EMBALAGEM; 60.00 G

271773; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG; NO_ACR; COMPRIMIDO; 0

268222; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; 8.4%. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 50.00 ML

269822; BROMEXINA CLORIDRATO; BROMEXINA CLORIDRATO; NOT FOUND; 0.8 MG/ML. XAROPE; NO_ACR; FRASCO; 120.00 ML

269958; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 5 MG/ML. INJETAVEL; NO_ACR; FRASCO; 10.00 ML

267936; BETAISTINA DICLORIDRATO; BETAISTINA DICLORIDRATO; NOT FOUND; 16 MG; NO_ACR; COMPRIMIDO; 0

270096; BUPIVACAÃNA CLORIDRATO; BUPIVACAINA CLORIDRATO; NOT FOUND; ASSOCIADA A EPINEFRINA. 0.5% + 1/200.000UI. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 20.00 ML

385436; BETAMETASONA; BETAMETASONA; BETAMETASONA; 2 MG; NO_ACR; COMPRIMIDO; 0

343575; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; ASSOCIADO COM ACIDO CITRICO E CARBONATO DE SODIO. 462 MG + 90 MG + 438 MG/G. PO EFERVESCENTE; NO_ACR; FRASCO; 100.00 G

427613; BELIMUMABE; BELIMUMABE; BELIMUMABE; 120 MG. PO LIOFILO P/ INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

