58701; DECONGEX PLUS NF ; DECONGEX PLUS NF; NOT FOUND; CPR.RE.LP x 12; A4H

92338; DICL BETAISTINA MG ; DICL BETAISTINA; DICLORIDRATO BETAISTINA; CPR 16 MG x 30; A4H

57083; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); A4H

103036; DONILA ; DONILA; NOT FOUND; CPR REVEST 10 MG x 30; A4H

28810; DORILAX ; DORILAX; NOT FOUND; CPR x 100; A4H

61850; DIOSMIN ; DIOSMIN; NOT FOUND; CPR REVEST 500 MG x 30; A4H

130990; DROPROPIZINA MG ; DROPROPIZINA; DROPROPIZINA; XAR 3 MG 120 ML x 1 (/ML); A4H

75517; DECONGEX PLUS NF ; DECONGEX PLUS NF; NOT FOUND; CPR.RE.LP x 100; A4H

53647; DEPROZOL ; DEPROZOL; NOT FOUND; CPR REVEST 1000 MG x 2; A4H

137394; DORENE ; DORENE; NOT FOUND; CAPS GEL 75 MG x 30; A4H

3007; DECADRON NEOMICINA ; DECADRON NEOMICINA; NOT FOUND; COLIRIO 5 ML x 1; A4H

77057; DIOSMIN ; DIOSMIN; NOT FOUND; SAC SDU L/LI 5 G x 15; A4H

93781; DIOSMIN ; DIOSMIN; NOT FOUND; SAC SDU ABAC 5 G x 30; A4H

59213; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 20; A4H

59212; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; CPR REVEST 50 MG x 20; A4H

64260; DICLOR.CETIRIZI.MG ; DICLOR CETIRIZI; DICLORIDRATO CETIRIZINA; CPR REVEST 10 MG x 12; A4H

93520; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 1 MG x 30; A4H

59210; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 1 % 60 G x 1; A4H

93519; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.25 MG x 30; A4H

56286; DINATON ; DINATON; NOT FOUND; CPR REVEST 80 MG x 20; A4H

30074; DEXTROVITASE B12 ; DEXTROVITASE B12; NOT FOUND; A.IV 20 ML x 1; A4H

127836; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR 0.50 MG 100 ML x 1 (/ML); A4H

49145; DEPRILAN ; DEPRILAN; NOT FOUND; CPR 5 MG x 20; A4H

53648; DEPROZOL ; DEPROZOL; NOT FOUND; CPR REVEST 1000 MG x 4; A4H

64092; DERMOMAX ; DERMOMAX; NOT FOUND; CREME DERMAT 40 MG 5 G x 1 (/G); A4H

50333; DUALID S ; DUALID S; NOT FOUND; CAPS RETARD 75 MG x 20; A4H

123456; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; CPR REVEST 5 MG x 10; A4H

74785; DUO-DECADRON ; DUO DECADRON; NOT FOUND; F.AMP 8 MG 1 ML x 1 (/2MG); A4H

28846; DUO-DECADRON ; DUO DECADRON; NOT FOUND; F.AMP KIT 10 MG 2 ML x 1; A4H

58702; DECONGEX PLUS NF ; DECONGEX PLUS NF; NOT FOUND; GOTAS 20 ML x 1; A4H

114401; DOSE D ; DOSE D; NOT FOUND; GOTAS MA VER 10 ML x 1; A4H

137392; DORENE ; DORENE; NOT FOUND; CAPS GEL 150 MG x 30; A4H

58703; DECONGEX PLUS NF ; DECONGEX PLUS NF; NOT FOUND; XAR. 120 ML x 1; A4H

3000; DECADRON ; DECADRON; NOT FOUND; AMP. 2 MG 1 ML x 2; A4H

3143; DESOBESI-M ; DESOBESI M; NOT FOUND; CAPS 25 MG x 30; A4H

3528; DORILAX ; DORILAX; NOT FOUND; CPR x 12; A4H

3002; DECADRON ; DECADRON; NOT FOUND; CPR 0.75 MG x 20; A4H

114402; DOSE D ; DOSE D; NOT FOUND; GOTAS MA VER 20 ML x 1; A4H

61851; DIOSMIN ; DIOSMIN; NOT FOUND; CPR REVEST 500 MG x 60; A4H

30072; DESOBESI-M ; DESOBESI M; NOT FOUND; CAPS 25 MG x 20; A4H

52270; DEPROZOL ; DEPROZOL; NOT FOUND; CPR REVEST 500 MG x 8; A4H

94293; DICL BETAISTINA MG ; DICL BETAISTINA; DICLORIDRATO BETAISTINA; CPR 8 MG x 30; A4H

83733; DORALIV ; DORALIV; NOT FOUND; GOTAS 100 MG 20 ML x 1 (/ML); A4H

79616; DORALIV ; DORALIV; NOT FOUND; GEL ORAL 100 MG 150 ML x 1 (/5ML); A4H

48787; DISGREN ; DISGREN; NOT FOUND; CAPS 300 MG x 20; A4H

54162; DECADRON ; DECADRON; NOT FOUND; GOTAS NASAL 20 ML x 1; A4H

57082; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); A4H

52191; DAYVIT ; DAYVIT; NOT FOUND; CPR REVEST x 30; A4H

93780; DIOSMIN ; DIOSMIN; NOT FOUND; SAC SDU ABAC 5 G x 15; A4H

62916; DUO-DECADRON ; DUO DECADRON; NOT FOUND; F.A.KIT S/SE 10 MG 2 ML x 1; A4H

74585; DUALID S ; DUALID S; NOT FOUND; CAPS GEL 75 MG x 30; A4H

3001; DECADRON ; DECADRON; NOT FOUND; CPR 0.50 MG x 20; A4H

70192; DEPAXAN ; DEPAXAN; NOT FOUND; CPR REVEST 20 MG x 20; A4H

59211; DICLOF.RESINATO MG ; DICLOF RESINATO; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); A4H

141238; DORENE ; DORENE; NOT FOUND; CAPS GEL 75 MG x 15; A4H

93518; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.125 MG x 30; A4H

92346; DICL BETAISTINA MG ; DICL BETAISTINA; DICLORIDRATO BETAISTINA; CPR 24 MG x 30; A4H

67366; DALAP ; DALAP; NOT FOUND; GEL. 0.10 % 30 G x 1; A4H

71670; DIGEPLUS NF ; DIGEPLUS NF; NOT FOUND; CAPS x 30; A4H

64093; DERMOMAX ; DERMOMAX; NOT FOUND; CREME DERMAT 40 MG 30 G x 1 (/G); A4H

65534; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; SOLN ORAL 50 MG 100 ML x 1 (/M; A4H

52269; DEPROZOL ; DEPROZOL; NOT FOUND; CPR REVEST 500 MG x 4; A4H

70193; DEPAXAN ; DEPAXAN; NOT FOUND; CPR REVEST 20 MG x 30; A4H

56287; DINATON ; DINATON; NOT FOUND; CPR REVEST 80 MG x 60; A4H

2998; DECADRON ; DECADRON; NOT FOUND; F.AMP 4 MG 2.50 ML x 1; A4H

29997; DECADRON ; DECADRON; NOT FOUND; CPR 4 MG x 10; A4H

84771; DUALID S ; DUALID S; NOT FOUND; CPR RETARD 75 MG x 30; A4H

51283; DEPRAX ; DEPRAX; NOT FOUND; CAPS GELATIN 20 MG x 28; A4H

3004; DECADRON ; DECADRON; NOT FOUND; ELIXIR 0.50 MG 120 ML x 1 (/5ML); A4H

3011; DECADRONAL ; DECADRONAL; NOT FOUND; F.AMP 8 MG 2 ML x 1; A4H

73227; DORALIV ; DORALIV; NOT FOUND; GOTAS 50 MG 30 ML x 1 (/ML); A4H

77058; DIOSMIN ; DIOSMIN; NOT FOUND; SAC SDU L/LI 5 G x 30; A4H

103037; DONILA ; DONILA; NOT FOUND; CPR REVEST 5 MG x 30; A4H

90465; DEPAKOTE ER ; DEPAKOTE ER; NOT FOUND; CPR REVES.AP 250 MG x 30; ABT

58700; DALSY ; DALSY; NOT FOUND; SUSP 100 MG 100 ML x 1 (/5ML); ABT

43874; DELTACID ; DELTACID; NOT FOUND; LOC. 0.02 % 100 ML x 1; ABT

42321; DEPAKENE ; DEPAKENE; NOT FOUND; CPR REVEST 500 MG x 50; ABT

80429; DEPAKOTE ; DEPAKOTE; NOT FOUND; CAPS GEL 125 MG x 10; ABT

55428; DALSY ; DALSY; NOT FOUND; SUSP 100 MG 200 ML x 1 (/5ML); ABT

56140; DEPAKOTE ; DEPAKOTE; NOT FOUND; CPR REVES.AP 500 MG x 20; ABT

48675; DEPAKENE ; DEPAKENE; NOT FOUND; CPR REVEST 300 MG x 25; ABT

92424; DEPAKOTE ; DEPAKOTE; NOT FOUND; CAPS SPRINKL 125 MG x 60; ABT

74881; DALSY ; DALSY; NOT FOUND; CPR REVEST 200 MG x 12; ABT

73219; DEPAKOTE ER ; DEPAKOTE ER; NOT FOUND; CPR REVES.AP 500 MG x 30; ABT

95804; DEPAKOTE ER ; DEPAKOTE ER; NOT FOUND; CPR REVES.AP 250 MG x 6; ABT

43875; DELTACID ; DELTACID; NOT FOUND; XAMP 0.02 % 100 ML x 1; ABT

61810; DUPHASTON ; DUPHASTON; NOT FOUND; CPR REVEST 10 MG x 28; ABT

72422; DUPHALAC ; DUPHALAC; NOT FOUND; XAROPE 667 MG 200 ML x 1 (/ML); ABT

62250; DALSY ; DALSY; NOT FOUND; CPR REVEST 400 MG x 10; ABT

58389; DEPAKOTE ; DEPAKOTE; NOT FOUND; CAPS SPRINKL 125 MG x 30; ABT

73548; DALSY ; DALSY; NOT FOUND; CPR REVEST 600 MG x 10; ABT

64258; DALSY ; DALSY; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); ABT

161602; DIALYCARE HP ; DIALYCARE HP; NOT FOUND; LIQ RBP BAU 200 ML x 1; ABT

48619; DICETEL ; DICETEL; NOT FOUND; CPR REVEST 50 MG x 20; ABT

54752; DILACORON ; DILACORON; NOT FOUND; CPR RET.REVE 240 MG x 30; ABT

30760; DEPAKENE ; DEPAKENE; NOT FOUND; XAR. 250 MG 100 ML x 1 (/5ML); ABT

59882; DEPAKOTE ER ; DEPAKOTE ER; NOT FOUND; CPR REVES.AP 500 MG x 20; ABT

80430; DEPAKOTE ER ; DEPAKOTE ER; NOT FOUND; CPR REVES.AP 500 MG x 6; ABT

61809; DUPHASTON ; DUPHASTON; NOT FOUND; CPR REVEST 10 MG x 14; ABT

30759; DEPAKENE ; DEPAKENE; NOT FOUND; CAPS 250 MG x 25; ABT

76215; DALSY ; DALSY; NOT FOUND; CPR REVEST 600 MG x 100; ABT

92414; DEPAKENE ; DEPAKENE; NOT FOUND; CAPS 250 MG x 50; ABT

58393; DUSPATALIN ; DUSPATALIN; NOT FOUND; CAPS L.P. 200 MG x 30; ABT

73221; DEPAKOTE ; DEPAKOTE; NOT FOUND; CPR REVES.AP 500 MG x 30; ABT

79961; DEPACON ; DEPACON; NOT FOUND; F.AMP 100 MG 5 ML x 10; ABT

54750; DILACORON ; DILACORON; NOT FOUND; CPR REVEST 80 MG x 30; ABT

73220; DEPAKOTE ; DEPAKOTE; NOT FOUND; CPR REVES.AP 250 MG x 30; ABT

56139; DEPAKOTE ; DEPAKOTE; NOT FOUND; CPR REVES.AP 250 MG x 20; ABT

55436; DILACORON ; DILACORON; NOT FOUND; CPR RET.REVE 120 MG x 20; ABT

72185; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); ABT

54995; DICETEL ; DICETEL; NOT FOUND; CPR REVEST 100 MG x 20; ABT

76213; DALSY ; DALSY; NOT FOUND; CPR REVEST 400 MG x 100; ABT

74546; DUPHALAC ; DUPHALAC; NOT FOUND; SACHETS 667 MG 15 ML x 10 (/ML); ABT

156816; DICL BETAISTINA MG ; DICL BETAISTINA; DICLORIDRATO BETAISTINA; CPR 16 MG x 30; AH_

96780; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR REVEST 3 MG x 21 (/.03); AH_

120260; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR REVEST 3 MG x 24 (/.02); AH_

85556; DUO-TRAVATAN B FRE ; DUO TRAVATAN B FRE; NOT FOUND; SOL OFTAL 2.50 ML x 1; ALC

99988; DUO-TRAVATAN B FRE ; DUO TRAVATAN B FRE; NOT FOUND; SOL OFTAL 5 ML x 1; ALC

57511; DUNASON ; DUNASON; NOT FOUND; GOTAS OFTAL 15 ML x 1; ALC

48334; DEXAFENICOL ; DEXAFENICOL; NOT FOUND; POM. OFTAL 3.50 G x 1; ALL

46657; DINILL ; DINILL; NOT FOUND; COLIRIO 10 ML x 1; ALL

