11411; XYLOCAINA ; XYLOCAINA; NOT FOUND; GEL. 2 % 30 ML x 1; AZN

11414; XYLOCAINA ; XYLOCAINA; NOT FOUND; POM. TOP. 50 MG 25 G x 1 (/G); AZN

54381; XYLOCAINA ; XYLOCAINA; NOT FOUND; PUMP SPRAY 50 ML x 1; AZN

11443; XYLOPROCT ; XYLOPROCT; NOT FOUND; POM. 25 G x 1; AZN

11432; XYLOCAINA ; XYLOCAINA; NOT FOUND; F.AMP S/VAS 2 % 20 ML x 12; AZN

11425; XYLOCAINA ; XYLOCAINA; NOT FOUND; UNGT SABOR 50 MG 25 G x 1 (/G); AZN

78606; XEFO ; XEFO; NOT FOUND; CPR REVEST 8 MG x 20; BS2

78604; XEFO ; XEFO; NOT FOUND; CPR REVEST 8 MG x 4; BS2

78602; XEFO ; XEFO; NOT FOUND; CPR REVEST 8 MG x 30; BS2

53934; XYLESTESIN ; XYLESTESIN; NOT FOUND; F.A.S/V-S.P. 1 % 20 ML x 10; CT6

54469; XYLESTESIN ; XYLESTESIN; NOT FOUND; CARTUCHO S/V 1.80 ML x 50; CT6

53932; XYLESTESIN ; XYLESTESIN; NOT FOUND; F.A.C/V-O.F. 2 % 20 ML x 10; CT6

90822; XEMOSE ; XEMOSE; NOT FOUND; G CR SYNDET 200 ML x 1; CT6

90820; XEMOSE ; XEMOSE; NOT FOUND; CREME 200 ML x 1; CT6

53939; XYLESTESIN ; XYLESTESIN; NOT FOUND; A.PE.ISO.S.P 5 % 2 ML x 50; CT6

48252; XYLESTESIN ; XYLESTESIN; NOT FOUND; GEL. 2 % 30 G x 1; CT6

53937; XYLESTESIN ; XYLESTESIN; NOT FOUND; F.AMP C/VAS 2 % 20 ML x 10; CT6

54468; XYLESTESIN ; XYLESTESIN; NOT FOUND; CARTUCHO C/V 2 % 1.80 ML x 50; CT6

53936; XYLESTESIN ; XYLESTESIN; NOT FOUND; F.AMP S/VAS 2 % 5 ML x 50; CT6

54470; XYLESTESIN ; XYLESTESIN; NOT FOUND; GEL. 2 % 30 G x 10; CT6

61475; XYLESTESIN ; XYLESTESIN; NOT FOUND; GEL. 2 % 10 ML x 10; CT6

53933; XYLESTESIN ; XYLESTESIN; NOT FOUND; SPRAY 10 % 50 ML x 1; CT6

53935; XYLESTESIN ; XYLESTESIN; NOT FOUND; F.AMP S/VAS 1 % 20 ML x 10; CT6

90812; XEMOSE ; XEMOSE; NOT FOUND; CREME CERAT 150 ML x 1; CT6

53931; XYLESTESIN ; XYLESTESIN; NOT FOUND; F.A.C/V-O.F. 1 % 20 ML x 10; CT6

48251; XYLESTESIN ; XYLESTESIN; NOT FOUND; F.AMP S/VAS 2 % 20 ML x 10; CT6

59999; XALACOM ; XALACOM; NOT FOUND; SOLN OFTAL 2.50 ML x 1; PFZ

52256; XALATAN ; XALATAN; NOT FOUND; SOLN OFTAL 50 Y 2.50 ML x 1 (/ML); PFZ

55404; XELODA ; XELODA; NOT FOUND; CPR REVEST 150 MG x 60; ROC

54500; XENICAL ; XENICAL; NOT FOUND; CAPS 120 MG x 42; ROC

55405; XELODA ; XELODA; NOT FOUND; CPR REVEST 500 MG x 120; ROC

54501; XENICAL ; XENICAL; NOT FOUND; CAPS 120 MG x 84; ROC

57832; XATRAL ; XATRAL; NOT FOUND; CPR OD 10 MG x 10; S_A

60958; XATRAL ; XATRAL; NOT FOUND; CPR OD 10 MG x 30; S_A

49629; XANTINON COMPLEX ; XANTINON COMPLEX; NOT FOUND; FLACONETES 10 ML x 12; TAK

73269; XANTINON NF ; XANTINON NF; NOT FOUND; CPR REVEST x 20; TAK

11378; XANTINON B12 INJET ; XANTINON B12 INJET; NOT FOUND; A.IM 5 ML x 96; TAK

11381; XANTINON B12 ; XANTINON B12; NOT FOUND; LIQD 100 ML x 1; TAK

73270; XANTINON NF ; XANTINON NF; NOT FOUND; CPR REVEST x 100; TAK

73267; XANTINON COMPLE NF ; XANTINON COMPLE NF; NOT FOUND; LIQD 100 ML x 1; TAK

85187; XANTINON NF ; XANTINON NF; NOT FOUND; CPR REVEST x 30; TAK

11379; XANTINON B12 ; XANTINON B12; NOT FOUND; DRAG x 100; TAK

11380; XANTINON B12 ; XANTINON B12; NOT FOUND; DRAG x 20; TAK

75809; XANTINON COMPLE NF ; XANTINON COMPLE NF; NOT FOUND; FLACONETES 10 ML x 60; TAK

73268; XANTINON COMPLE NF ; XANTINON COMPLE NF; NOT FOUND; FLACONETES 10 ML x 12; TAK

11377; XANTINON B12 INJET ; XANTINON B12 INJET; NOT FOUND; A.IM 5 ML x 3; TAK

